Source;Target;Combined;Inserts;Deletes
distruggersi;si distrugga;INS(si )distruggDEL(e)DEL(rsi)INS(a);INS(si ),INS(a);DEL(e),DEL(rsi)
riproteggere;riproteggeresti;riproteggereINS(sti);INS(sti);
discostare;discostato;discostaDEL(re)INS(t)INS(o);INS(t),INS(o);DEL(re)
penare;peni;penDEL(are)INS(i);INS(i);DEL(are)
sbrigarsi;mi sbrigherò;INS(mi )sbrigDEL(arsi)INS(h)INS(e)INS(r)INS(ò);INS(mi ),INS(h),INS(e),INS(r),INS(ò);DEL(arsi)
destrutturarsi;ci destrutturassimo;INS(ci )destrutturaDEL(r)sINS(s)iINS(mo);INS(ci ),INS(s),INS(mo);DEL(r)
distrarre;distraevo;distraDEL(r)DEL(r)eINS(v)INS(o);INS(v),INS(o);DEL(r),DEL(r)
rovinarsi;ti rovinavi;INS(ti )rovinaDEL(r)DEL(s)INS(v)i;INS(ti ),INS(v);DEL(r),DEL(s)
sganciarsi;vi sganciate;INS(vi )sganciaDEL(rsi)INS(t)INS(e);INS(vi ),INS(t),INS(e);DEL(rsi)
mellificare;mellificherò;mellificDEL(ar)INS(h)eINS(r)INS(ò);INS(h),INS(r),INS(ò);DEL(ar)
dissacrare;dissacro;dissacrDEL(are)INS(o);INS(o);DEL(are)
puzzare;puzzavo;puzzaDEL(re)INS(v)INS(o);INS(v),INS(o);DEL(re)
verbalizzare;verbalizzammo;verbalizzaDEL(re)INS(mmo);INS(mmo);DEL(re)
ammennicolare;ammennicolai;ammennicolaDEL(re)INS(i);INS(i);DEL(re)
infrancesare;infrancesare;infrancesare;;
arzigogolare;arzigogolavamo;arzigogolaDEL(re)INS(va)INS(mo);INS(va),INS(mo);DEL(re)
indispettirsi;si indispettiscano;INS(si )indispettiDEL(r)sDEL(i)INS(c)INS(a)INS(n)INS(o);INS(si ),INS(c),INS(a),INS(n),INS(o);DEL(r),DEL(i)
ridorare;ridoriamo;ridorINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re)
vaporizzarsi;vi vaporizzavate;INS(vi )vaporizzaDEL(rsi)INS(v)INS(a)INS(t)INS(e);INS(vi ),INS(v),INS(a),INS(t),INS(e);DEL(rsi)
millantare;millantaste;millantaDEL(r)INS(st)e;INS(st);DEL(r)
agguagliarsi;ti agguagli;INS(ti )agguaglDEL(i)DEL(ars)i;INS(ti );DEL(i),DEL(ars)
scandagliare;scandaglierò;scandagliDEL(ar)eINS(r)INS(ò);INS(r),INS(ò);DEL(ar)
apologizzare;apologizzerà;apologizzDEL(ar)eINS(r)INS(à);INS(r),INS(à);DEL(ar)
ammalarsi;ammalantesi;ammalaDEL(r)INS(n)INS(t)INS(e)si;INS(n),INS(t),INS(e);DEL(r)
stallare;stallerai;stallDEL(ar)eINS(r)INS(a)INS(i);INS(r),INS(a),INS(i);DEL(ar)
supervalutare;supervalutino;supervalutDEL(are)INS(i)INS(n)INS(o);INS(i),INS(n),INS(o);DEL(are)
angelicare;angelichi;angelicDEL(are)INS(h)INS(i);INS(h),INS(i);DEL(are)
condizionare;condizionerete;condizionDEL(a)INS(e)rINS(et)e;INS(e),INS(et);DEL(a)
appostare;apposteresti;appostDEL(a)INS(e)reINS(sti);INS(e),INS(sti);DEL(a)
indebitarsi;si indebiterà;INS(si )indebitDEL(arsi)INS(e)INS(r)INS(à);INS(si ),INS(e),INS(r),INS(à);DEL(arsi)
contagiare;contagiavate;contagiaDEL(r)INS(v)INS(a)INS(t)e;INS(v),INS(a),INS(t);DEL(r)
riabbottonare;riabbottonasti;riabbottonaDEL(re)INS(sti);INS(sti);DEL(re)
silurare;silureresti;silurDEL(a)INS(e)reINS(sti);INS(e),INS(sti);DEL(a)
palare;palerebbero;palDEL(a)INS(e)reINS(b)INS(b)INS(e)INS(r)INS(o);INS(e),INS(b),INS(b),INS(e),INS(r),INS(o);DEL(a)
appesantire;appesantisci;appesantINS(i)INS(s)INS(c)iDEL(re);INS(i),INS(s),INS(c);DEL(re)
atterrare;atterrerei;atterrDEL(a)INS(e)reINS(i);INS(e),INS(i);DEL(a)
acquattare;acquattino;acquattDEL(are)INS(i)INS(n)INS(o);INS(i),INS(n),INS(o);DEL(are)
invadere;invadevo;invadDEL(er)eINS(v)INS(o);INS(v),INS(o);DEL(er)
emungere;emungerebbero;emungereINS(b)INS(b)INS(e)INS(r)INS(o);INS(b),INS(b),INS(e),INS(r),INS(o);
separarsi;si separassero;INS(si )separaINS(s)INS(s)INS(e)rDEL(s)DEL(i)INS(o);INS(si ),INS(s),INS(s),INS(e),INS(o);DEL(s),DEL(i)
propagarsi;propagantesi;propagaDEL(r)INS(n)INS(t)INS(e)si;INS(n),INS(t),INS(e);DEL(r)
sbiellare;sbiellate;sbiellaDEL(r)INS(t)e;INS(t);DEL(r)
catturare;catturerà;cattuDEL(r)DEL(a)reINS(r)INS(à);INS(r),INS(à);DEL(r),DEL(a)
riappacificarsi;si riappacificassero;INS(si )riappacificaINS(s)INS(s)INS(e)rDEL(s)DEL(i)INS(o);INS(si ),INS(s),INS(s),INS(e),INS(o);DEL(s),DEL(i)
deacidificare;deacidificherebbero;deacidificDEL(a)INS(h)INS(e)reINS(b)INS(b)INS(e)INS(r)INS(o);INS(h),INS(e),INS(b),INS(b),INS(e),INS(r),INS(o);DEL(a)
scolorire;scoloriscono;scoloriDEL(re)INS(s)INS(c)INS(o)INS(n)INS(o);INS(s),INS(c),INS(o),INS(n),INS(o);DEL(re)
canneggiare;canneggiamo;canneggiaDEL(re)INS(mo);INS(mo);DEL(re)
incalzare;incalzassi;incalzaDEL(re)INS(ssi);INS(ssi);DEL(re)
pertenere;pertenere;pertenere;;
archeggiare;archeggi;archeggiDEL(are);;DEL(are)
gettarsi;si getterebbero;INS(si )gettDEL(arsi)INS(e)INS(r)INS(e)INS(b)INS(b)INS(e)INS(r)INS(o);INS(si ),INS(e),INS(r),INS(e),INS(b),INS(b),INS(e),INS(r),INS(o);DEL(arsi)
franceseggiare;franceseggeranno;franceseggDEL(i)DEL(ar)eINS(r)INS(a)INS(n)INS(n)INS(o);INS(r),INS(a),INS(n),INS(n),INS(o);DEL(i),DEL(ar)
vegetare;vegetai;vegetaDEL(re)INS(i);INS(i);DEL(re)
sottomurare;sottomuraste;sottomuraDEL(r)INS(st)e;INS(st);DEL(r)
imbucare;imbucherei;imbucDEL(a)INS(h)INS(e)reINS(i);INS(h),INS(e),INS(i);DEL(a)
sabotare;sabotiate;sabotINS(i)aDEL(r)INS(t)e;INS(i),INS(t);DEL(r)
edulcorare;edulcorino;edulcorDEL(are)INS(i)INS(n)INS(o);INS(i),INS(n),INS(o);DEL(are)
smattonare;smattonarono;smattonarDEL(e)INS(o)INS(n)INS(o);INS(o),INS(n),INS(o);DEL(e)
amministrare;amministrasse;amministraDEL(r)INS(s)INS(s)e;INS(s),INS(s);DEL(r)
oggettivizzare;oggettivizzaste;oggettivizzaDEL(r)INS(st)e;INS(st);DEL(r)
reperire;reperivano;reperiDEL(re)INS(vano);INS(vano);DEL(re)
saccarificare;saccarificherebbe;saccarificDEL(a)INS(h)INS(e)rINS(ebb)e;INS(h),INS(e),INS(ebb);DEL(a)
gottare;gotti;gottDEL(are)INS(i);INS(i);DEL(are)
ristagnare;ristagneranno;ristagnDEL(ar)eINS(r)INS(a)INS(n)INS(n)INS(o);INS(r),INS(a),INS(n),INS(n),INS(o);DEL(ar)
frapporsi;si frapporrebbe;INS(si )frapporDEL(s)DEL(i)INS(r)INS(e)INS(b)INS(b)INS(e);INS(si ),INS(r),INS(e),INS(b),INS(b),INS(e);DEL(s),DEL(i)
incarrozzare;incarrozza;incarrozzaDEL(re);;DEL(re)
interrompere;interrompevano;interrompDEL(er)eINS(vano);INS(vano);DEL(er)
autoaffondarsi;ti autoaffonderesti;INS(ti )autoaffondDEL(a)INS(e)rINS(e)sINS(t)i;INS(ti ),INS(e),INS(e),INS(t);DEL(a)
arare;ara;araDEL(re);;DEL(re)
coadiuvare;coadiuvasse;coadiuvaDEL(r)INS(s)INS(s)e;INS(s),INS(s);DEL(r)
imperlarsi;vi imperlerete;INS(vi )imperlDEL(arsi)INS(e)INS(r)INS(e)INS(t)INS(e);INS(vi ),INS(e),INS(r),INS(e),INS(t),INS(e);DEL(arsi)
interessarsi;si interessassero;INS(si )interessaINS(s)INS(s)INS(e)rDEL(s)DEL(i)INS(o);INS(si ),INS(s),INS(s),INS(e),INS(o);DEL(s),DEL(i)
protestarsi;protestato;protestaDEL(rsi)INS(t)INS(o);INS(t),INS(o);DEL(rsi)
assestare;assestate;assestaDEL(r)INS(t)e;INS(t);DEL(r)
opzionare;opzioneremo;opzionDEL(a)INS(e)reINS(mo);INS(e),INS(mo);DEL(a)
vocalizzare;vocalizzassero;vocalizzaINS(s)INS(s)INS(e)rDEL(e)INS(o);INS(s),INS(s),INS(e),INS(o);DEL(e)
sussistere;sussisteresti;sussistereINS(sti);INS(sti);
pignoleggiare;pignoleggiassi;pignoleggiaDEL(re)INS(ssi);INS(ssi);DEL(re)
intellettualizzare;intellettualizzate;intellettualizzaDEL(r)INS(t)e;INS(t);DEL(r)
incenerire;incenerirete;incenerirINS(et)e;INS(et);
scolorire;scolorirebbero;scolorireINS(b)INS(b)INS(e)INS(r)INS(o);INS(b),INS(b),INS(e),INS(r),INS(o);
ramificarsi;si ramifichino;INS(si )ramificDEL(ars)INS(h)iINS(no);INS(si ),INS(h),INS(no);DEL(ars)
sfornaciare;sfornacerà;sfornacDEL(i)DEL(ar)eINS(r)INS(à);INS(r),INS(à);DEL(i),DEL(ar)
iscriversi;iscrivetevi;iscriveDEL(r)DEL(s)INS(t)INS(e)INS(v)i;INS(t),INS(e),INS(v);DEL(r),DEL(s)
sperticarsi;si sperticheranno;INS(si )sperticINS(h)INS(e)INS(r)aDEL(rsi)INS(n)INS(no);INS(si ),INS(h),INS(e),INS(r),INS(n),INS(no);DEL(rsi)
ripiantare;ripiantasti;ripiantaDEL(re)INS(sti);INS(sti);DEL(re)
inguaiarsi;ti inguaiassi;INS(ti )inguaiaDEL(r)sINS(s)i;INS(ti ),INS(s);DEL(r)
sborniarsi;si sbornierà;INS(si )sbornDEL(i)DEL(ars)iINS(e)INS(r)INS(à);INS(si ),INS(e),INS(r),INS(à);DEL(i),DEL(ars)
preformare;preformato;preformaDEL(re)INS(t)INS(o);INS(t),INS(o);DEL(re)
bocciare;bocciava;bocciINS(a)INS(v)aDEL(re);INS(a),INS(v);DEL(re)
appanettare;appanettò;appanettDEL(are)INS(ò);INS(ò);DEL(are)
malmettere;malmettesti;malmettDEL(er)eINS(sti);INS(sti);DEL(er)
vergare;vergante;vergaDEL(r)INS(n)INS(t)e;INS(n),INS(t);DEL(r)
imbestialire;imbestialente;imbestialDEL(i)DEL(r)INS(e)INS(n)INS(t)e;INS(e),INS(n),INS(t);DEL(i),DEL(r)
svillaneggiarsi;si svillaneggeranno;INS(si )svillaneggDEL(i)DEL(a)DEL(r)DEL(s)DEL(i)INS(e)INS(r)INS(a)INS(n)INS(n)INS(o);INS(si ),INS(e),INS(r),INS(a),INS(n),INS(n),INS(o);DEL(i),DEL(a),DEL(r),DEL(s),DEL(i)
bloccarsi;ci bloccammo;INS(ci )bloccaDEL(rsi)INS(mmo);INS(ci ),INS(mmo);DEL(rsi)
arroventire;arroventiate;arroventiDEL(r)INS(a)INS(t)e;INS(a),INS(t);DEL(r)
cianciare;cianciassi;cianciaDEL(re)INS(ssi);INS(ssi);DEL(re)
decostruire;decostruente;decostruDEL(i)DEL(r)INS(e)INS(n)INS(t)e;INS(e),INS(n),INS(t);DEL(i),DEL(r)
staggire;staggiresti;staggireINS(sti);INS(sti);
istradare;istradava;istradINS(a)INS(v)aDEL(re);INS(a),INS(v);DEL(re)
gonfiarsi;vi gonfiate;INS(vi )gonfiaDEL(rsi)INS(t)INS(e);INS(vi ),INS(t),INS(e);DEL(rsi)
riassumere;riassumevi;riassumDEL(er)eINS(v)INS(i);INS(v),INS(i);DEL(er)
inturgidirsi;inturgidentesi;inturgidDEL(i)DEL(r)INS(e)INS(n)INS(t)INS(e)si;INS(e),INS(n),INS(t),INS(e);DEL(i),DEL(r)
compartimentare;compartimenterà;compartimentDEL(ar)eINS(r)INS(à);INS(r),INS(à);DEL(ar)
condolersi;si condolga;INS(si )condolDEL(e)DEL(rsi)INS(g)INS(a);INS(si ),INS(g),INS(a);DEL(e),DEL(rsi)
maritare;marito;maritDEL(are)INS(o);INS(o);DEL(are)
decompartimentare;decompartimentante;decompartimentaDEL(r)INS(n)INS(t)e;INS(n),INS(t);DEL(r)
affiochire;affiochiste;affiochiDEL(r)INS(st)e;INS(st);DEL(r)
sbeccare;sbeccate;sbeccaDEL(r)INS(t)e;INS(t);DEL(r)
smantellare;smantellate;smantellaDEL(r)INS(t)e;INS(t);DEL(r)
accogliersi;accogliamo;accoglDEL(i)DEL(e)DEL(r)DEL(s)iINS(a)INS(mo);INS(a),INS(mo);DEL(i),DEL(e),DEL(r),DEL(s)
sfolgorare;sfolgoravate;sfolgoraDEL(r)INS(v)INS(a)INS(t)e;INS(v),INS(a),INS(t);DEL(r)
reimpastare;reimpastino;reimpastDEL(are)INS(i)INS(n)INS(o);INS(i),INS(n),INS(o);DEL(are)
acquarellare;acquarelliamo;acquarellINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re)
arrapare;arraperebbe;arrapDEL(a)INS(e)rINS(ebb)e;INS(e),INS(ebb);DEL(a)
ricomporsi;si ricomporrebbero;INS(si )ricomporDEL(s)DEL(i)INS(r)INS(e)INS(b)INS(b)INS(e)INS(r)INS(o);INS(si ),INS(r),INS(e),INS(b),INS(b),INS(e),INS(r),INS(o);DEL(s),DEL(i)
rinfrescare;rinfrescarono;rinfrescarDEL(e)INS(o)INS(n)INS(o);INS(o),INS(n),INS(o);DEL(e)
avvedersi;ci avvediamo;INS(ci )avvedDEL(e)DEL(rs)iINS(a)INS(mo);INS(ci ),INS(a),INS(mo);DEL(e),DEL(rs)
ricevere;riceviate;ricevDEL(er)INS(i)INS(a)INS(t)e;INS(i),INS(a),INS(t);DEL(er)
approfondire;approfondirebbero;approfondireINS(b)INS(b)INS(e)INS(r)INS(o);INS(b),INS(b),INS(e),INS(r),INS(o);
autoinvitarsi;mi autoinvitassi;INS(mi )autoinvitaDEL(r)sINS(s)i;INS(mi ),INS(s);DEL(r)
derequisire;derequisisca;derequisiDEL(re)INS(s)INS(c)INS(a);INS(s),INS(c),INS(a);DEL(re)
decuplicare;decuplicheremo;decuplicDEL(a)INS(h)INS(e)reINS(mo);INS(h),INS(e),INS(mo);DEL(a)
riscappare;riscappate;riscappaDEL(r)INS(t)e;INS(t);DEL(r)
squartare;squarterei;squartDEL(a)INS(e)reINS(i);INS(e),INS(i);DEL(a)
modellizzare;modellizzavano;modellizzaDEL(re)INS(vano);INS(vano);DEL(re)
confliggere;confliggano;confliggDEL(ere)INS(a)INS(n)INS(o);INS(a),INS(n),INS(o);DEL(ere)
freddare;freddò;freddDEL(are)INS(ò);INS(ò);DEL(are)
servire;servire;servire;;
banchettare;banchetteremmo;banchettDEL(a)INS(e)reINS(mmo);INS(e),INS(mmo);DEL(a)
cattolicizzare;cattolicizziate;cattolicizzINS(i)aDEL(r)INS(t)e;INS(i),INS(t);DEL(r)
tirarsi;mi tiro;INS(mi )tirDEL(arsi)INS(o);INS(mi ),INS(o);DEL(arsi)
raggentilire;raggentilisco;raggentiliDEL(re)INS(s)INS(c)INS(o);INS(s),INS(c),INS(o);DEL(re)
levitare;levitiamo;levitINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re)
flagellare;flagelli;flagellDEL(are)INS(i);INS(i);DEL(are)
dereferenziare;dereferenzino;dereferenziDEL(are)INS(no);INS(no);DEL(are)
paracadutarsi;vi paracadutate;INS(vi )paracadutaDEL(rsi)INS(t)INS(e);INS(vi ),INS(t),INS(e);DEL(rsi)
spromettere;spromettiate;sprometINS(t)INS(i)INS(a)tDEL(er)e;INS(t),INS(i),INS(a);DEL(er)
svagare;svaghiamo;svagINS(h)INS(i)aDEL(re)INS(mo);INS(h),INS(i),INS(mo);DEL(re)
adire;adirei;adireINS(i);INS(i);
riappropriarsi;si riappropri;INS(si )riapproprDEL(i)DEL(ars)i;INS(si );DEL(i),DEL(ars)
sbarazzarsi;mi sbarazzi;INS(mi )sbarazzDEL(ars)i;INS(mi );DEL(ars)
appiccicarsi;appiccicarsi;appiccicarsi;;
allessare;allesseremo;allessDEL(a)INS(e)reINS(mo);INS(e),INS(mo);DEL(a)
zampicare;zampicano;zampicaDEL(re)INS(no);INS(no);DEL(re)
rubarsi;ci rubiamo;INS(ci )rubDEL(ars)iINS(a)INS(mo);INS(ci ),INS(a),INS(mo);DEL(ars)
questionare;questionavi;questionaDEL(re)INS(v)INS(i);INS(v),INS(i);DEL(re)
mozzare;mozzassimo;mozzaDEL(re)INS(s)INS(s)INS(i)INS(m)INS(o);INS(s),INS(s),INS(i),INS(m),INS(o);DEL(re)
contradire;contradirei;contradireINS(i);INS(i);
capitare;capitassi;capitaDEL(re)INS(ssi);INS(ssi);DEL(re)
meriare;meriavate;meriaDEL(r)INS(v)INS(a)INS(t)e;INS(v),INS(a),INS(t);DEL(r)
asfissiarsi;ci asfissiavamo;INS(ci )asfissiaDEL(rsi)INS(va)INS(mo);INS(ci ),INS(va),INS(mo);DEL(rsi)
colluttarsi;si colluttarono;INS(si )colluttarDEL(s)DEL(i)INS(o)INS(n)INS(o);INS(si ),INS(o),INS(n),INS(o);DEL(s),DEL(i)
fidarsi;ti fidavi;INS(ti )fidaDEL(r)DEL(s)INS(v)i;INS(ti ),INS(v);DEL(r),DEL(s)
attaccarsi;si attaccavano;INS(si )attaccaDEL(rsi)INS(vano);INS(si ),INS(vano);DEL(rsi)
immunizzarsi;si immunizzò;INS(si )immunizzDEL(arsi)INS(ò);INS(si ),INS(ò);DEL(arsi)
tepefare;tepefacciamo;tepefaDEL(re)INS(c)INS(c)INS(i)INS(a)INS(m)INS(o);INS(c),INS(c),INS(i),INS(a),INS(m),INS(o);DEL(re)
infamare;infamavano;infamaDEL(re)INS(vano);INS(vano);DEL(re)
impregnarsi;ti impregnavi;INS(ti )impregnaDEL(r)DEL(s)INS(v)i;INS(ti ),INS(v);DEL(r),DEL(s)
ridondare;ridondato;ridondaDEL(re)INS(t)INS(o);INS(t),INS(o);DEL(re)
bestemmiare;bestemmierai;bestemmiDEL(ar)eINS(r)INS(a)INS(i);INS(r),INS(a),INS(i);DEL(ar)
esercitare;esercitavano;esercitaDEL(re)INS(vano);INS(vano);DEL(re)
allungare;allungavo;allungaDEL(re)INS(v)INS(o);INS(v),INS(o);DEL(re)
accingere;accingi;accingDEL(ere)INS(i);INS(i);DEL(ere)
profittare;profittassimo;profittaDEL(re)INS(s)INS(s)INS(i)INS(m)INS(o);INS(s),INS(s),INS(i),INS(m),INS(o);DEL(re)
suggestionarsi;mi suggestionerei;INS(mi )suggestionDEL(ars)INS(e)INS(r)INS(e)i;INS(mi ),INS(e),INS(r),INS(e);DEL(ars)
sbrigarsi;mi sbrigassi;INS(mi )sbrigaDEL(r)sINS(s)i;INS(mi ),INS(s);DEL(r)
stipendiare;stipendiassi;stipendiaDEL(re)INS(ssi);INS(ssi);DEL(re)
sconsacrare;sconsacrerebbe;sconsacrDEL(a)INS(e)rINS(ebb)e;INS(e),INS(ebb);DEL(a)
riottenere;riottengono;riottenDEL(ere)INS(g)INS(o)INS(n)INS(o);INS(g),INS(o),INS(n),INS(o);DEL(ere)
approfittarsi;approfittiamoci;approfittINS(i)aDEL(r)DEL(s)INS(m)INS(o)INS(c)i;INS(i),INS(m),INS(o),INS(c);DEL(r),DEL(s)
orripilare;orripilavate;orripilaDEL(r)INS(v)INS(a)INS(t)e;INS(v),INS(a),INS(t);DEL(r)
abbrunare;abbruneremmo;abbrunDEL(a)INS(e)reINS(mmo);INS(e),INS(mmo);DEL(a)
metaforizzare;metaforizza;metaforizzaDEL(re);;DEL(re)
imporcare;imporcherebbe;imporcDEL(a)INS(h)INS(e)rINS(ebb)e;INS(h),INS(e),INS(ebb);DEL(a)
avvincere;avvincerò;avvincerDEL(e)INS(ò);INS(ò);DEL(e)
reticolare;reticolassi;reticolaDEL(re)INS(ssi);INS(ssi);DEL(re)
balzare;balzino;balzDEL(are)INS(i)INS(n)INS(o);INS(i),INS(n),INS(o);DEL(are)
indurare;induro;indurDEL(are)INS(o);INS(o);DEL(are)
sentirsi;si sentano;INS(si )sentDEL(i)DEL(rsi)INS(a)INS(n)INS(o);INS(si ),INS(a),INS(n),INS(o);DEL(i),DEL(rsi)
ringraziarsi;mi ringraziassi;INS(mi )ringraziaDEL(r)sINS(s)i;INS(mi ),INS(s);DEL(r)
tripartire;tripartite;tripartiDEL(r)INS(t)e;INS(t);DEL(r)
strambare;strambereste;strambDEL(a)INS(e)rINS(e)INS(s)INS(t)e;INS(e),INS(e),INS(s),INS(t);DEL(a)
involgarirsi;si involgarirebbero;INS(si )involgarirDEL(s)DEL(i)INS(e)INS(b)INS(b)INS(e)INS(r)INS(o);INS(si ),INS(e),INS(b),INS(b),INS(e),INS(r),INS(o);DEL(s),DEL(i)
degassare;degassassi;degassaDEL(re)INS(ssi);INS(ssi);DEL(re)
appigliare;appigliassi;appigliaDEL(re)INS(ssi);INS(ssi);DEL(re)
rimbecillire;rimbecilliamo;rimbecilliDEL(re)INS(a)INS(mo);INS(a),INS(mo);DEL(re)
perplimere;perplime;perplimDEL(er)e;;DEL(er)
gallicizzare;gallicizzavo;gallicizzaDEL(re)INS(v)INS(o);INS(v),INS(o);DEL(re)
infagottare;infagotti;infagottDEL(are)INS(i);INS(i);DEL(are)
palare;palavano;palaDEL(re)INS(vano);INS(vano);DEL(re)
iniziare;iniziasti;iniziaDEL(re)INS(sti);INS(sti);DEL(re)
impaperarsi;si impaperano;INS(si )impaperaDEL(rsi)INS(no);INS(si ),INS(no);DEL(rsi)
ingannare;inganniamo;ingannINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re)
azzuffare;azzuffi;azzuffDEL(are)INS(i);INS(i);DEL(are)
sbottare;sbottaste;sbottaDEL(r)INS(st)e;INS(st);DEL(r)
cicatrizzare;cicatrizzerà;cicatrizzDEL(ar)eINS(r)INS(à);INS(r),INS(à);DEL(ar)
locare;locante;locaDEL(r)INS(n)INS(t)e;INS(n),INS(t);DEL(r)
scegliersi;ci sceglieremo;INS(ci )sceglierDEL(s)DEL(i)INS(e)INS(m)INS(o);INS(ci ),INS(e),INS(m),INS(o);DEL(s),DEL(i)
assetare;assetassi;assetaDEL(re)INS(ssi);INS(ssi);DEL(re)
arenarsi;mi arenai;INS(mi )arenaDEL(r)DEL(s)i;INS(mi );DEL(r),DEL(s)
squamare;squami;squamDEL(are)INS(i);INS(i);DEL(are)
stropicciare;stropicciammo;stropicciaDEL(re)INS(mmo);INS(mmo);DEL(re)
fidanzarsi;vi fidanzaste;INS(vi )fidanzaDEL(r)sDEL(i)INS(t)INS(e);INS(vi ),INS(t),INS(e);DEL(r),DEL(i)
protendersi;ci protendiamo;INS(ci )protendDEL(e)DEL(rs)iINS(a)INS(mo);INS(ci ),INS(a),INS(mo);DEL(e),DEL(rs)
smetterla;la smettevano;INS(l)INS(a)INS( )smetteDEL(r)DEL(l)INS(v)aINS(no);INS(l),INS(a),INS( ),INS(v),INS(no);DEL(r),DEL(l)
ubbligare;ubbligassi;ubbligaDEL(re)INS(ssi);INS(ssi);DEL(re)
