Source;Target;Combined;Inserts;Deletes
nūoŗmīez;nūoŗmīedkõks;nūoŗmīeDEL(z)INS(d)INS(k)INS(õ)INS(k)INS(s);INS(d),INS(k),INS(õ),INS(k),INS(s);DEL(z)
kuolmõz;kuolmõndidi;kuolmõDEL(z)INS(n)INS(d)INS(i)INS(d)INS(i);INS(n),INS(d),INS(i),INS(d),INS(i);DEL(z)
ab;abbõ;abINS(b)INS(õ);INS(b),INS(õ);
kuolmi;kuolmizõs;kuolmiINS(z)INS(õ)INS(s);INS(z),INS(õ),INS(s);
vȱlda;ūom;DEL(v)DEL(ȱ)DEL(l)DEL(d)DEL(a)INS(ū)INS(o)INS(m);INS(ū),INS(o),INS(m);DEL(v),DEL(ȱ),DEL(l),DEL(d),DEL(a)
tas;tassõdõks;taINS(ss)INS(õdõk)s;INS(ss),INS(õdõk);
nǟdõ;neizmõ;nDEL(ǟ)DEL(d)INS(e)INS(i)INS(z)INS(m)õ;INS(e),INS(i),INS(z),INS(m);DEL(ǟ),DEL(d)
alīztas;alīztassõ;alīztasINS(s)INS(õ);INS(s),INS(õ);
tūontõz;tūontõndõd;tūontõDEL(z)INS(n)INS(d)INS(õ)INS(d);INS(n),INS(d),INS(õ),INS(d);DEL(z)
likkõ;um likkõmõst;INS(u)INS(m)INS( )likkõINS(m)INS(õ)INS(s)INS(t);INS(u),INS(m),INS( ),INS(m),INS(õ),INS(s),INS(t);
ougust;ougustõdõks;ougustINS(õdõ)INS(ks);INS(õdõ),INS(ks);
kūora;kūoran;kūoraINS(n);INS(n);
seismõztuoistõnz;seismõztuoistõndis;seismõztuoistõnDEL(z)INS(d)INS(i)INS(s);INS(d),INS(i),INS(s);DEL(z)
instrumentāl;instrumentāls;instrumentālINS(s);INS(s);
pȯiški;pȯiškizõst;pȯiškiINS(z)INS(õ)INS(s)INS(t);INS(z),INS(õ),INS(s),INS(t);
kȭļimkū;kȭļimkūdõn;kȭļimkūINS(dõ)INS(n);INS(dõ),INS(n);
jellõ;izt jelāt;INS(i)INS(z)INS(t)INS( )jelDEL(l)DEL(õ)INS(ā)INS(t);INS(i),INS(z),INS(t),INS( ),INS(ā),INS(t);DEL(l),DEL(õ)
analīz;analīzõst;analīzINS(õ)INS(st);INS(õ),INS(st);
nūoŗpōŗ;nūoŗpōŗštõ;nūoŗpōŗINS(š)INS(t)INS(õ);INS(š),INS(t),INS(õ);
tūlda;äb līm tunnõd;DEL(t)DEL(ū)INS(ä)INS(b)INS( )lINS(ī)INS(m)INS( )INS(t)INS(u)INS(n)INS(n)INS(õ)dDEL(a);INS(ä),INS(b),INS( ),INS(ī),INS(m),INS( ),INS(t),INS(u),INS(n),INS(n),INS(õ);DEL(t),DEL(ū),DEL(a)
partitīv;partitīvst;partitīvINS(s)INS(t);INS(s),INS(t);
april;apriliž;aprilINS(i)INS(ž);INS(i),INS(ž);
tuoi;tuoizõn;tuoiINS(z)INS(õ)INS(n);INS(z),INS(õ),INS(n);
sukā;sukīs;sukDEL(ā)INS(ī)INS(s);INS(ī),INS(s);DEL(ā)
tūontõz;tūontõndõs;tūontõDEL(z)INS(n)INS(d)INS(õ)INS(s);INS(n),INS(d),INS(õ),INS(s);DEL(z)
sukā;sukāks;sukāINS(k)INS(s);INS(k),INS(s);
vȱlda;at;DEL(vȱl)DEL(d)aINS(t);INS(t);DEL(vȱl),DEL(d)
neļļõndpǟva;neļļõndpäuvḑi;neļļõndpDEL(ǟ)DEL(v)DEL(a)INS(ä)INS(u)INS(v)INS(ḑ)INS(i);INS(ä),INS(u),INS(v),INS(ḑ),INS(i);DEL(ǟ),DEL(v),DEL(a)
kuod;kuodkõks;kuodINS(k)INS(õks);INS(k),INS(õks);
ablatīv;ablatīv;ablatīv;;
tidār;tidār;tidār;;
kanā;kanās;kanāINS(s);INS(s);
pānda;paņņid;pDEL(ān)DEL(d)aINS(ņ)INS(ņ)INS(i)INS(d);INS(ņ),INS(ņ),INS(i),INS(d);DEL(ān),DEL(d)
tūlda;tuldõd;tDEL(ū)INS(u)lINS(d)INS(õ)dDEL(a);INS(u),INS(d),INS(õ);DEL(ū),DEL(a)
ǟma;ǟmad;ǟmaINS(d);INS(d);
jellõ;jelāks;jelDEL(l)DEL(õ)INS(ā)INS(k)INS(s);INS(ā),INS(k),INS(s);DEL(l),DEL(õ)
jūnij;jūnijõn;jūnijINS(õ)INS(n);INS(õ),INS(n);
ab;abstõ;abINS(s)INS(t)INS(õ);INS(s),INS(t),INS(õ);
septembõr;septembõris;septembõrINS(i)INS(s);INS(i),INS(s);
nūoŗim;nūoŗimõn;nūoŗimINS(õ)INS(n);INS(õ),INS(n);
instrumentāl;instrumentāl;instrumentāl;;
kōdõksmõz;kōdõksmõndist;kōdõksmõDEL(z)INS(n)INS(d)INS(i)INS(s)INS(t);INS(n),INS(d),INS(i),INS(s),INS(t);DEL(z)
ikšlug;ikšluggõ;ikšlugINS(g)INS(õ);INS(g),INS(õ);
novembõr;novembõrst;novembõrINS(s)INS(t);INS(s),INS(t);
ežmi;ežmizt;ežmiINS(z)INS(t);INS(z),INS(t);
kuod;kuodūd;kuoINS(d)INS(ū)d;INS(d),INS(ū);
kīņtš;kīndtõ;kīDEL(ņ)DEL(t)DEL(š)INS(n)INS(d)INS(t)INS(õ);INS(n),INS(d),INS(t),INS(õ);DEL(ņ),DEL(t),DEL(š)
kuolmkimdõz;kuolmkimdõz;kuolmkimdõz;;
dattõd;dattõdõn;dattõdINS(õ)INS(n);INS(õ),INS(n);
brēḑig;brēḑigõdõks;brēḑigINS(õdõ)INS(ks);INS(õdõ),INS(ks);
kaffetas;kaffetassõdõks;kaffetaINS(ss)INS(õdõk)s;INS(ss),INS(õdõk);
tūlda;äb tulks;INS(ä)INS(b)INS( )tDEL(ūl)DEL(da)INS(u)INS(l)INS(k)INS(s);INS(ä),INS(b),INS( ),INS(u),INS(l),INS(k),INS(s);DEL(ūl),DEL(da)
novembõr;novembõrõ;novembõrINS(õ);INS(õ);
vȱlda;vȯļd;vDEL(ȱ)DEL(l)INS(ȯ)INS(ļ)dDEL(a);INS(ȯ),INS(ļ);DEL(ȱ),DEL(l),DEL(a)
kuolmi;kuolmižis;kuolmiINS(ž)INS(i)INS(s);INS(ž),INS(i),INS(s);
alli;alīztõks;alDEL(l)DEL(i)INS(ī)INS(z)INS(t)INS(õ)INS(k)INS(s);INS(ī),INS(z),INS(t),INS(õ),INS(k),INS(s);DEL(l),DEL(i)
vȱlda;alā vȯl!;DEL(vȱl)DEL(d)aINS(l)INS(ā)INS( )INS(v)INS(ȯ)INS(l)INS(!);INS(l),INS(ā),INS( ),INS(v),INS(ȯ),INS(l),INS(!);DEL(vȱl),DEL(d)
dattõd;dattist;datINS(t)INS(i)INS(s)tDEL(õ)DEL(d);INS(t),INS(i),INS(s);DEL(õ),DEL(d)
vīmkū;vīmkūd;vīmkūINS(d);INS(d);
allitas;alīztõntassõn;alDEL(l)DEL(i)INS(ī)INS(z)INS(t)INS(õ)INS(n)tasINS(s)INS(õ)INS(n);INS(ī),INS(z),INS(t),INS(õ),INS(n),INS(s),INS(õ),INS(n);DEL(l),DEL(i)
tīemizsõnā;tīemizsõnān;tīemizsõnāINS(n);INS(n);
kaffetas;kaffetassõks;kaffetaINS(s)INS(s)INS(õ)INS(k)s;INS(s),INS(s),INS(õ),INS(k);
mǟdlõ;līt mǟdlõnd;INS(l)INS(ī)INS(t)INS( )mǟdlõINS(n)INS(d);INS(l),INS(ī),INS(t),INS( ),INS(n),INS(d);
kaffe;kaffis;kaffDEL(e)INS(i)INS(s);INS(i),INS(s);DEL(e)
pānda;līb pand;INS(l)INS(ī)INS(b)INS( )pDEL(ā)INS(a)ndDEL(a);INS(l),INS(ī),INS(b),INS( ),INS(a);DEL(ā),DEL(a)
pānda;äb līmõ pannõd;INS(ä)INS(b)INS( )INS(l)INS(ī)INS(m)INS(õ)INS( )pDEL(ān)DEL(d)aINS(n)INS(n)INS(õ)INS(d);INS(ä),INS(b),INS( ),INS(l),INS(ī),INS(m),INS(õ),INS( ),INS(n),INS(n),INS(õ),INS(d);DEL(ān),DEL(d)
nǟdõ;izt nǟ;INS(i)INS(z)INS(t)INS( )nǟDEL(d)DEL(õ);INS(i),INS(z),INS(t),INS( );DEL(d),DEL(õ)
lǟdõ;algõ läkkõ;INS(a)lDEL(ǟ)DEL(d)INS(g)INS(õ)INS( )INS(l)INS(ä)INS(k)INS(k)õ;INS(a),INS(g),INS(õ),INS( ),INS(l),INS(ä),INS(k),INS(k);DEL(ǟ),DEL(d)
