Source;Target;Combined;Inserts;Deletes;Grammar
annottolare;annottolante;annottolaDEL(r)INS(nt)e;INS(nt);DEL(r);V.PTCP,PRS
vendicarsi;ci vendichiamo;INS(ci )vendicDEL(ars)INS(h)iINS(amo);INS(ci ),INS(h),INS(amo);DEL(ars);V,SBJV,PRS,1,PL
pervertire;pervertisti;perverINS(tis)tiDEL(re);INS(tis);DEL(re);V,IND,PST,2,SG,PFV
scucire;scucirete;scucirINS(et)e;INS(et);;V,IND,FUT,2,PL
sussumere;sussumiamo;sussumDEL(ere)INS(iamo);INS(iamo);DEL(ere);V,POS,IMP,1,PL
commensurare;commensurerebbero;commensurDEL(a)INS(e)reINS(bbero);INS(e),INS(bbero);DEL(a);V,COND,3,PL
ricontrarre;ricontraevamo;ricontraDEL(rr)eINS(vamo);INS(vamo);DEL(rr);V,IND,PST,1,PL,IPFV
insterilirsi;ti insterilivi;INS(ti )insteriliDEL(rs)INS(v)i;INS(ti ),INS(v);DEL(rs);V,IND,PST,2,SG,IPFV
antropomorfizzare;antropomorfizzi;antropomorfizzDEL(are)INS(i);INS(i);DEL(are);V,POS,IMP,3,SG
distruggersi;si distrugga;INS(si )distruggDEL(ersi)INS(a);INS(si ),INS(a);DEL(ersi);V,POS,IMP,3,SG
riproteggere;riproteggeresti;riproteggereINS(sti);INS(sti);;V,COND,2,SG
discostare;discostato;discostaDEL(re)INS(to);INS(to);DEL(re);V.PTCP,PST
penare;peni;penDEL(are)INS(i);INS(i);DEL(are);V,SBJV,PRS,2,SG
sbrigarsi;mi sbrigherò;INS(mi )sbrigDEL(arsi)INS(herò);INS(mi ),INS(herò);DEL(arsi);V,IND,FUT,1,SG
destrutturarsi;ci destrutturassimo;INS(ci )destrutturaDEL(r)sINS(s)iINS(mo);INS(ci ),INS(s),INS(mo);DEL(r);V,SBJV,PST,1,PL
distrarre;distraevo;distraDEL(rr)eINS(vo);INS(vo);DEL(rr);V,IND,PST,1,SG,IPFV
rovinarsi;ti rovinavi;INS(ti )rovinaDEL(rs)INS(v)i;INS(ti ),INS(v);DEL(rs);V,IND,PST,2,SG,IPFV
sganciarsi;vi sganciate;INS(vi )sganciaDEL(rsi)INS(te);INS(vi ),INS(te);DEL(rsi);V,IND,PRS,2,PL
mellificare;mellificherò;mellificDEL(ar)INS(h)eINS(rò);INS(h),INS(rò);DEL(ar);V,IND,FUT,1,SG
dissacrare;dissacro;dissacrDEL(are)INS(o);INS(o);DEL(are);V,IND,PRS,1,SG
puzzare;puzzavo;puzzaDEL(re)INS(vo);INS(vo);DEL(re);V,IND,PST,1,SG,IPFV
verbalizzare;verbalizzammo;verbalizzaDEL(re)INS(mmo);INS(mmo);DEL(re);V,IND,PST,1,PL,PFV
ammennicolare;ammennicolai;ammennicolaDEL(re)INS(i);INS(i);DEL(re);V,IND,PST,1,SG,PFV
infrancesare;infrancesare;infrancesare;;;V,NFIN
arzigogolare;arzigogolavamo;arzigogolaDEL(re)INS(vamo);INS(vamo);DEL(re);V,IND,PST,1,PL,IPFV
indispettirsi;si indispettiscano;INS(si )indispettiDEL(r)sDEL(i)INS(cano);INS(si ),INS(cano);DEL(r),DEL(i);V,SBJV,PRS,3,PL
ridorare;ridoriamo;ridorINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re);V,POS,IMP,1,PL
vaporizzarsi;vi vaporizzavate;INS(vi )vaporizzaDEL(rsi)INS(vate);INS(vi ),INS(vate);DEL(rsi);V,IND,PST,2,PL,IPFV
millantare;millantaste;millantaDEL(r)INS(st)e;INS(st);DEL(r);V,SBJV,PST,2,PL
agguagliarsi;ti agguagli;INS(ti )agguaglDEL(iars)i;INS(ti );DEL(iars);V,SBJV,PRS,2,SG
scandagliare;scandaglierò;scandagliDEL(ar)eINS(rò);INS(rò);DEL(ar);V,IND,FUT,1,SG
apologizzare;apologizzerà;apologizzDEL(ar)eINS(rà);INS(rà);DEL(ar);V,IND,FUT,3,SG
ammalarsi;ammalantesi;ammalaDEL(r)INS(nte)si;INS(nte);DEL(r);V.PTCP,PRS
stallare;stallerai;stallDEL(ar)eINS(rai);INS(rai);DEL(ar);V,IND,FUT,2,SG
supervalutare;supervalutino;supervalutDEL(are)INS(ino);INS(ino);DEL(are);V,SBJV,PRS,3,PL
angelicare;angelichi;angelicDEL(are)INS(hi);INS(hi);DEL(are);V,SBJV,PRS,2,SG
condizionare;condizionerete;condizionDEL(a)INS(e)rINS(et)e;INS(e),INS(et);DEL(a);V,IND,FUT,2,PL
appostare;apposteresti;appostDEL(a)INS(e)reINS(sti);INS(e),INS(sti);DEL(a);V,COND,2,SG
indebitarsi;si indebiterà;INS(si )indebitDEL(arsi)INS(erà);INS(si ),INS(erà);DEL(arsi);V,IND,FUT,3,SG
contagiare;contagiavate;contagiaDEL(r)INS(vat)e;INS(vat);DEL(r);V,IND,PST,2,PL,IPFV
riabbottonare;riabbottonasti;riabbottonaDEL(re)INS(sti);INS(sti);DEL(re);V,IND,PST,2,SG,PFV
silurare;silureresti;silurDEL(a)INS(e)reINS(sti);INS(e),INS(sti);DEL(a);V,COND,2,SG
palare;palerebbero;palDEL(a)INS(e)reINS(bbero);INS(e),INS(bbero);DEL(a);V,COND,3,PL
appesantire;appesantisci;appesantINS(isc)iDEL(re);INS(isc);DEL(re);V,IND,PRS,2,SG
atterrare;atterrerei;atterrDEL(a)INS(e)reINS(i);INS(e),INS(i);DEL(a);V,COND,1,SG
acquattare;acquattino;acquattDEL(are)INS(ino);INS(ino);DEL(are);V,SBJV,PRS,3,PL
invadere;invadevo;invadDEL(er)eINS(vo);INS(vo);DEL(er);V,IND,PST,1,SG,IPFV
emungere;emungerebbero;emungereINS(bbero);INS(bbero);;V,COND,3,PL
separarsi;si separassero;INS(si )separaINS(sse)rDEL(si)INS(o);INS(si ),INS(sse),INS(o);DEL(si);V,SBJV,PST,3,PL
propagarsi;propagantesi;propagaDEL(r)INS(nte)si;INS(nte);DEL(r);V.PTCP,PRS
sbiellare;sbiellate;sbiellaDEL(r)INS(t)e;INS(t);DEL(r);V,POS,IMP,2,PL
catturare;catturerà;cattuDEL(ra)reINS(rà);INS(rà);DEL(ra);V,IND,FUT,3,SG
riappacificarsi;si riappacificassero;INS(si )riappacificaINS(sse)rDEL(si)INS(o);INS(si ),INS(sse),INS(o);DEL(si);V,SBJV,PST,3,PL
deacidificare;deacidificherebbero;deacidificDEL(a)INS(he)reINS(bbero);INS(he),INS(bbero);DEL(a);V,COND,3,PL
scolorire;scoloriscono;scoloriDEL(re)INS(scono);INS(scono);DEL(re);V,IND,PRS,3,PL
canneggiare;canneggiamo;canneggiaDEL(re)INS(mo);INS(mo);DEL(re);V,POS,IMP,1,PL
incalzare;incalzassi;incalzaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,2,SG
pertenere;pertenere;pertenere;;;V,NFIN
archeggiare;archeggi;archeggiDEL(are);;DEL(are);V,SBJV,PRS,3,SG
gettarsi;si getterebbero;INS(si )gettDEL(arsi)INS(erebbero);INS(si ),INS(erebbero);DEL(arsi);V,COND,3,PL
franceseggiare;franceseggeranno;franceseggDEL(iar)eINS(ranno);INS(ranno);DEL(iar);V,IND,FUT,3,PL
vegetare;vegetai;vegetaDEL(re)INS(i);INS(i);DEL(re);V,IND,PST,1,SG,PFV
sottomurare;sottomuraste;sottomuraDEL(r)INS(st)e;INS(st);DEL(r);V,IND,PST,2,PL,PFV
imbucare;imbucherei;imbucDEL(a)INS(he)reINS(i);INS(he),INS(i);DEL(a);V,COND,1,SG
sabotare;sabotiate;sabotINS(i)aDEL(r)INS(t)e;INS(i),INS(t);DEL(r);V,SBJV,PRS,2,PL
edulcorare;edulcorino;edulcorDEL(are)INS(ino);INS(ino);DEL(are);V,SBJV,PRS,3,PL
smattonare;smattonarono;smattonarDEL(e)INS(ono);INS(ono);DEL(e);V,IND,PST,3,PL,PFV
amministrare;amministrasse;amministraDEL(r)INS(ss)e;INS(ss);DEL(r);V,SBJV,PST,3,SG
oggettivizzare;oggettivizzaste;oggettivizzaDEL(r)INS(st)e;INS(st);DEL(r);V,IND,PST,2,PL,PFV
reperire;reperivano;reperiDEL(re)INS(vano);INS(vano);DEL(re);V,IND,PST,3,PL,IPFV
saccarificare;saccarificherebbe;saccarificDEL(a)INS(he)rINS(ebb)e;INS(he),INS(ebb);DEL(a);V,COND,3,SG
gottare;gotti;gottDEL(are)INS(i);INS(i);DEL(are);V,IND,PRS,2,SG
ristagnare;ristagneranno;ristagnDEL(ar)eINS(ranno);INS(ranno);DEL(ar);V,IND,FUT,3,PL
frapporsi;si frapporrebbe;INS(si )frapporDEL(si)INS(rebbe);INS(si ),INS(rebbe);DEL(si);V,COND,3,SG
incarrozzare;incarrozza;incarrozzaDEL(re);;DEL(re);V,POS,IMP,2,SG
interrompere;interrompevano;interrompDEL(er)eINS(vano);INS(vano);DEL(er);V,IND,PST,3,PL,IPFV
autoaffondarsi;ti autoaffonderesti;INS(ti )autoaffondDEL(a)INS(e)rINS(e)sINS(t)i;INS(ti ),INS(e),INS(e),INS(t);DEL(a);V,COND,2,SG
arare;ara;araDEL(re);;DEL(re);V,POS,IMP,2,SG
coadiuvare;coadiuvasse;coadiuvaDEL(r)INS(ss)e;INS(ss);DEL(r);V,SBJV,PST,3,SG
imperlarsi;vi imperlerete;INS(vi )imperlDEL(arsi)INS(erete);INS(vi ),INS(erete);DEL(arsi);V,IND,FUT,2,PL
interessarsi;si interessassero;INS(si )interessaINS(sse)rDEL(si)INS(o);INS(si ),INS(sse),INS(o);DEL(si);V,SBJV,PST,3,PL
protestarsi;protestato;protestaDEL(rsi)INS(to);INS(to);DEL(rsi);V.PTCP,PST
assestare;assestate;assestaDEL(r)INS(t)e;INS(t);DEL(r);V,POS,IMP,2,PL
opzionare;opzioneremo;opzionDEL(a)INS(e)reINS(mo);INS(e),INS(mo);DEL(a);V,IND,FUT,1,PL
vocalizzare;vocalizzassero;vocalizzaINS(sse)rDEL(e)INS(o);INS(sse),INS(o);DEL(e);V,SBJV,PST,3,PL
sussistere;sussisteresti;sussistereINS(sti);INS(sti);;V,COND,2,SG
pignoleggiare;pignoleggiassi;pignoleggiaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,2,SG
intellettualizzare;intellettualizzate;intellettualizzaDEL(r)INS(t)e;INS(t);DEL(r);V,POS,IMP,2,PL
incenerire;incenerirete;incenerirINS(et)e;INS(et);;V,IND,FUT,2,PL
scolorire;scolorirebbero;scolorireINS(bbero);INS(bbero);;V,COND,3,PL
ramificarsi;si ramifichino;INS(si )ramificDEL(ars)INS(h)iINS(no);INS(si ),INS(h),INS(no);DEL(ars);V,POS,IMP,3,PL
sfornaciare;sfornacerà;sfornacDEL(iar)eINS(rà);INS(rà);DEL(iar);V,IND,FUT,3,SG
iscriversi;iscrivetevi;iscriveDEL(rs)INS(tev)i;INS(tev);DEL(rs);V,POS,IMP,2,PL
sperticarsi;si sperticheranno;INS(si )sperticINS(her)aDEL(rsi)INS(nno);INS(si ),INS(her),INS(nno);DEL(rsi);V,IND,FUT,3,PL
ripiantare;ripiantasti;ripiantaDEL(re)INS(sti);INS(sti);DEL(re);V,IND,PST,2,SG,PFV
inguaiarsi;ti inguaiassi;INS(ti )inguaiaDEL(r)sINS(s)i;INS(ti ),INS(s);DEL(r);V,SBJV,PST,2,SG
sborniarsi;si sbornierà;INS(si )sbornDEL(iars)iINS(erà);INS(si ),INS(erà);DEL(iars);V,IND,FUT,3,SG
preformare;preformato;preformaDEL(re)INS(to);INS(to);DEL(re);V.PTCP,PST
bocciare;bocciava;bocciINS(av)aDEL(re);INS(av);DEL(re);V,IND,PST,3,SG,IPFV
appanettare;appanettò;appanettDEL(are)INS(ò);INS(ò);DEL(are);V,IND,PST,3,SG,PFV
malmettere;malmettesti;malmettDEL(er)eINS(sti);INS(sti);DEL(er);V,IND,PST,2,SG,PFV
vergare;vergante;vergaDEL(r)INS(nt)e;INS(nt);DEL(r);V.PTCP,PRS
imbestialire;imbestialente;imbestialDEL(ir)INS(ent)e;INS(ent);DEL(ir);V.PTCP,PRS
svillaneggiarsi;si svillaneggeranno;INS(si )svillaneggDEL(iarsi)INS(eranno);INS(si ),INS(eranno);DEL(iarsi);V,IND,FUT,3,PL
bloccarsi;ci bloccammo;INS(ci )bloccaDEL(rsi)INS(mmo);INS(ci ),INS(mmo);DEL(rsi);V,IND,PST,1,PL,PFV
arroventire;arroventiate;arroventiDEL(r)INS(at)e;INS(at);DEL(r);V,SBJV,PRS,2,PL
cianciare;cianciassi;cianciaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,1,SG
decostruire;decostruente;decostruDEL(ir)INS(ent)e;INS(ent);DEL(ir);V.PTCP,PRS
staggire;staggiresti;staggireINS(sti);INS(sti);;V,COND,2,SG
istradare;istradava;istradINS(av)aDEL(re);INS(av);DEL(re);V,IND,PST,3,SG,IPFV
gonfiarsi;vi gonfiate;INS(vi )gonfiaDEL(rsi)INS(te);INS(vi ),INS(te);DEL(rsi);V,IND,PRS,2,PL
riassumere;riassumevi;riassumDEL(er)eINS(vi);INS(vi);DEL(er);V,IND,PST,2,SG,IPFV
inturgidirsi;inturgidentesi;inturgidDEL(ir)INS(ente)si;INS(ente);DEL(ir);V.PTCP,PRS
compartimentare;compartimenterà;compartimentDEL(ar)eINS(rà);INS(rà);DEL(ar);V,IND,FUT,3,SG
condolersi;si condolga;INS(si )condolDEL(ersi)INS(ga);INS(si ),INS(ga);DEL(ersi);V,SBJV,PRS,3,SG
maritare;marito;maritDEL(are)INS(o);INS(o);DEL(are);V,IND,PRS,1,SG
decompartimentare;decompartimentante;decompartimentaDEL(r)INS(nt)e;INS(nt);DEL(r);V.PTCP,PRS
affiochire;affiochiste;affiochiDEL(r)INS(st)e;INS(st);DEL(r);V,SBJV,PST,2,PL
sbeccare;sbeccate;sbeccaDEL(r)INS(t)e;INS(t);DEL(r);V,POS,IMP,2,PL
smantellare;smantellate;smantellaDEL(r)INS(t)e;INS(t);DEL(r);V,POS,IMP,2,PL
accogliersi;accogliamo;accoglDEL(iers)iINS(amo);INS(amo);DEL(iers);V,POS,IMP,1,PL
sfolgorare;sfolgoravate;sfolgoraDEL(r)INS(vat)e;INS(vat);DEL(r);V,IND,PST,2,PL,IPFV
reimpastare;reimpastino;reimpastDEL(are)INS(ino);INS(ino);DEL(are);V,SBJV,PRS,3,PL
acquarellare;acquarelliamo;acquarellINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re);V,SBJV,PRS,1,PL
arrapare;arraperebbe;arrapDEL(a)INS(e)rINS(ebb)e;INS(e),INS(ebb);DEL(a);V,COND,3,SG
ricomporsi;si ricomporrebbero;INS(si )ricomporDEL(si)INS(rebbero);INS(si ),INS(rebbero);DEL(si);V,COND,3,PL
rinfrescare;rinfrescarono;rinfrescarDEL(e)INS(ono);INS(ono);DEL(e);V,IND,PST,3,PL,PFV
avvedersi;ci avvediamo;INS(ci )avvedDEL(ers)iINS(amo);INS(ci ),INS(amo);DEL(ers);V,IND,PRS,1,PL
ricevere;riceviate;ricevDEL(er)INS(iat)e;INS(iat);DEL(er);V,SBJV,PRS,2,PL
approfondire;approfondirebbero;approfondireINS(bbero);INS(bbero);;V,COND,3,PL
autoinvitarsi;mi autoinvitassi;INS(mi )autoinvitaDEL(r)sINS(s)i;INS(mi ),INS(s);DEL(r);V,SBJV,PST,1,SG
derequisire;derequisisca;derequisiDEL(re)INS(sca);INS(sca);DEL(re);V,SBJV,PRS,3,SG
decuplicare;decuplicheremo;decuplicDEL(a)INS(he)reINS(mo);INS(he),INS(mo);DEL(a);V,IND,FUT,1,PL
riscappare;riscappate;riscappaDEL(r)INS(t)e;INS(t);DEL(r);V,POS,IMP,2,PL
squartare;squarterei;squartDEL(a)INS(e)reINS(i);INS(e),INS(i);DEL(a);V,COND,1,SG
modellizzare;modellizzavano;modellizzaDEL(re)INS(vano);INS(vano);DEL(re);V,IND,PST,3,PL,IPFV
confliggere;confliggano;confliggDEL(ere)INS(ano);INS(ano);DEL(ere);V,POS,IMP,3,PL
freddare;freddò;freddDEL(are)INS(ò);INS(ò);DEL(are);V,IND,PST,3,SG,PFV
servire;servire;servire;;;V,NFIN
banchettare;banchetteremmo;banchettDEL(a)INS(e)reINS(mmo);INS(e),INS(mmo);DEL(a);V,COND,1,PL
cattolicizzare;cattolicizziate;cattolicizzINS(i)aDEL(r)INS(t)e;INS(i),INS(t);DEL(r);V,SBJV,PRS,2,PL
tirarsi;mi tiro;INS(mi )tirDEL(arsi)INS(o);INS(mi ),INS(o);DEL(arsi);V,IND,PRS,1,SG
raggentilire;raggentilisco;raggentiliDEL(re)INS(sco);INS(sco);DEL(re);V,IND,PRS,1,SG
levitare;levitiamo;levitINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re);V,IND,PRS,1,PL
flagellare;flagelli;flagellDEL(are)INS(i);INS(i);DEL(are);V,SBJV,PRS,1,SG
dereferenziare;dereferenzino;dereferenziDEL(are)INS(no);INS(no);DEL(are);V,POS,IMP,3,PL
paracadutarsi;vi paracadutate;INS(vi )paracadutaDEL(rsi)INS(te);INS(vi ),INS(te);DEL(rsi);V,IND,PRS,2,PL
spromettere;spromettiate;sprometINS(tia)tDEL(er)e;INS(tia);DEL(er);V,SBJV,PRS,2,PL
svagare;svaghiamo;svagINS(hi)aDEL(re)INS(mo);INS(hi),INS(mo);DEL(re);V,SBJV,PRS,1,PL
adire;adirei;adireINS(i);INS(i);;V,COND,1,SG
riappropriarsi;si riappropri;INS(si )riapproprDEL(iars)i;INS(si );DEL(iars);V,SBJV,PRS,3,SG
sbarazzarsi;mi sbarazzi;INS(mi )sbarazzDEL(ars)i;INS(mi );DEL(ars);V,SBJV,PRS,1,SG
appiccicarsi;appiccicarsi;appiccicarsi;;;V,NFIN
allessare;allesseremo;allessDEL(a)INS(e)reINS(mo);INS(e),INS(mo);DEL(a);V,IND,FUT,1,PL
zampicare;zampicano;zampicaDEL(re)INS(no);INS(no);DEL(re);V,IND,PRS,3,PL
rubarsi;ci rubiamo;INS(ci )rubDEL(ars)iINS(amo);INS(ci ),INS(amo);DEL(ars);V,SBJV,PRS,1,PL
questionare;questionavi;questionaDEL(re)INS(vi);INS(vi);DEL(re);V,IND,PST,2,SG,IPFV
mozzare;mozzassimo;mozzaDEL(re)INS(ssimo);INS(ssimo);DEL(re);V,SBJV,PST,1,PL
contradire;contradirei;contradireINS(i);INS(i);;V,COND,1,SG
capitare;capitassi;capitaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,1,SG
meriare;meriavate;meriaDEL(r)INS(vat)e;INS(vat);DEL(r);V,IND,PST,2,PL,IPFV
asfissiarsi;ci asfissiavamo;INS(ci )asfissiaDEL(rsi)INS(vamo);INS(ci ),INS(vamo);DEL(rsi);V,IND,PST,1,PL,IPFV
colluttarsi;si colluttarono;INS(si )colluttarDEL(si)INS(ono);INS(si ),INS(ono);DEL(si);V,IND,PST,3,PL,PFV
fidarsi;ti fidavi;INS(ti )fidaDEL(rs)INS(v)i;INS(ti ),INS(v);DEL(rs);V,IND,PST,2,SG,IPFV
attaccarsi;si attaccavano;INS(si )attaccaDEL(rsi)INS(vano);INS(si ),INS(vano);DEL(rsi);V,IND,PST,3,PL,IPFV
immunizzarsi;si immunizzò;INS(si )immunizzDEL(arsi)INS(ò);INS(si ),INS(ò);DEL(arsi);V,IND,PST,3,SG,PFV
tepefare;tepefacciamo;tepefaDEL(re)INS(cciamo);INS(cciamo);DEL(re);V,SBJV,PRS,1,PL
infamare;infamavano;infamaDEL(re)INS(vano);INS(vano);DEL(re);V,IND,PST,3,PL,IPFV
impregnarsi;ti impregnavi;INS(ti )impregnaDEL(rs)INS(v)i;INS(ti ),INS(v);DEL(rs);V,IND,PST,2,SG,IPFV
ridondare;ridondato;ridondaDEL(re)INS(to);INS(to);DEL(re);V.PTCP,PST
bestemmiare;bestemmierai;bestemmiDEL(ar)eINS(rai);INS(rai);DEL(ar);V,IND,FUT,2,SG
esercitare;esercitavano;esercitaDEL(re)INS(vano);INS(vano);DEL(re);V,IND,PST,3,PL,IPFV
allungare;allungavo;allungaDEL(re)INS(vo);INS(vo);DEL(re);V,IND,PST,1,SG,IPFV
accingere;accingi;accingDEL(ere)INS(i);INS(i);DEL(ere);V,IND,PRS,2,SG
profittare;profittassimo;profittaDEL(re)INS(ssimo);INS(ssimo);DEL(re);V,SBJV,PST,1,PL
suggestionarsi;mi suggestionerei;INS(mi )suggestionDEL(ars)INS(ere)i;INS(mi ),INS(ere);DEL(ars);V,COND,1,SG
sbrigarsi;mi sbrigassi;INS(mi )sbrigaDEL(r)sINS(s)i;INS(mi ),INS(s);DEL(r);V,SBJV,PST,1,SG
stipendiare;stipendiassi;stipendiaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,1,SG
sconsacrare;sconsacrerebbe;sconsacrDEL(a)INS(e)rINS(ebb)e;INS(e),INS(ebb);DEL(a);V,COND,3,SG
riottenere;riottengono;riottenDEL(ere)INS(gono);INS(gono);DEL(ere);V,IND,PRS,3,PL
approfittarsi;approfittiamoci;approfittINS(i)aDEL(rs)INS(moc)i;INS(i),INS(moc);DEL(rs);V,POS,IMP,1,PL
orripilare;orripilavate;orripilaDEL(r)INS(vat)e;INS(vat);DEL(r);V,IND,PST,2,PL,IPFV
abbrunare;abbruneremmo;abbrunDEL(a)INS(e)reINS(mmo);INS(e),INS(mmo);DEL(a);V,COND,1,PL
metaforizzare;metaforizza;metaforizzaDEL(re);;DEL(re);V,POS,IMP,2,SG
imporcare;imporcherebbe;imporcDEL(a)INS(he)rINS(ebb)e;INS(he),INS(ebb);DEL(a);V,COND,3,SG
avvincere;avvincerò;avvincerDEL(e)INS(ò);INS(ò);DEL(e);V,IND,FUT,1,SG
reticolare;reticolassi;reticolaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,1,SG
balzare;balzino;balzDEL(are)INS(ino);INS(ino);DEL(are);V,POS,IMP,3,PL
indurare;induro;indurDEL(are)INS(o);INS(o);DEL(are);V,IND,PRS,1,SG
sentirsi;si sentano;INS(si )sentDEL(irsi)INS(ano);INS(si ),INS(ano);DEL(irsi);V,SBJV,PRS,3,PL
ringraziarsi;mi ringraziassi;INS(mi )ringraziaDEL(r)sINS(s)i;INS(mi ),INS(s);DEL(r);V,SBJV,PST,1,SG
tripartire;tripartite;tripartiDEL(r)INS(t)e;INS(t);DEL(r);V,IND,PRS,2,PL
strambare;strambereste;strambDEL(a)INS(e)rINS(est)e;INS(e),INS(est);DEL(a);V,COND,2,PL
involgarirsi;si involgarirebbero;INS(si )involgarirDEL(si)INS(ebbero);INS(si ),INS(ebbero);DEL(si);V,COND,3,PL
degassare;degassassi;degassaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,2,SG
appigliare;appigliassi;appigliaDEL(re)INS(ssi);INS(ssi);DEL(re);V,SBJV,PST,1,SG
rimbecillire;rimbecilliamo;rimbecilliDEL(re)INS(amo);INS(amo);DEL(re);V,POS,IMP,1,PL
perplimere;perplime;perplimDEL(er)e;;DEL(er);V,IND,PRS,3,SG
gallicizzare;gallicizzavo;gallicizzaDEL(re)INS(vo);INS(vo);DEL(re);V,IND,PST,1,SG,IPFV
infagottare;infagotti;infagottDEL(are)INS(i);INS(i);DEL(are);V,SBJV,PRS,2,SG
palare;palavano;palaDEL(re)INS(vano);INS(vano);DEL(re);V,IND,PST,3,PL,IPFV
iniziare;iniziasti;iniziaDEL(re)INS(sti);INS(sti);DEL(re);V,IND,PST,2,SG,PFV
impaperarsi;si impaperano;INS(si )impaperaDEL(rsi)INS(no);INS(si ),INS(no);DEL(rsi);V,IND,PRS,3,PL
ingannare;inganniamo;ingannINS(i)aDEL(re)INS(mo);INS(i),INS(mo);DEL(re);V,POS,IMP,1,PL
azzuffare;azzuffi;azzuffDEL(are)INS(i);INS(i);DEL(are);V,POS,IMP,3,SG
sbottare;sbottaste;sbottaDEL(r)INS(st)e;INS(st);DEL(r);V,IND,PST,2,PL,PFV
cicatrizzare;cicatrizzerà;cicatrizzDEL(ar)eINS(rà);INS(rà);DEL(ar);V,IND,FUT,3,SG
