Source;Target;Combined;Inserts;Deletes
nedzelt;nedzēlāt;nedzDEL(e)INS(ē)lINS(ā)t;INS(ē),INS(ā);DEL(e)
vate;vatē;vatDEL(e)INS(ē);INS(ē);DEL(e)
jemenietis;jemeniešus;jemenieDEL(ti)INS(šu)s;INS(šu);DEL(ti)
begemots;begemotam;begemotDEL(s)INS(am);INS(am);DEL(s)
andorietis;andorieši;andorieDEL(t)INS(š)iDEL(s);INS(š);DEL(t),DEL(s)
ērkšķis;ērkšķos;ērkšķDEL(i)INS(o)s;INS(o);DEL(i)
eiropejiskākais;eiropejiskāko;eiropejiskākDEL(ais)INS(o);INS(o);DEL(ais)
melīgais;melīgā;melīgDEL(ais)INS(ā);INS(ā);DEL(ais)
ģist;ģied;ģiDEL(st)INS(ed);INS(ed);DEL(st)
aziātiskākais;aziātiskākās;aziātiskākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
ciliārķermenis;ciliārķermeņi;ciliārķermeDEL(n)INS(ņ)iDEL(s);INS(ņ);DEL(n),DEL(s)
fluors;fluors;fluors;;
cietoksnis;cietokšņi;cietokDEL(sn)INS(šņ)iDEL(s);INS(šņ);DEL(sn),DEL(s)
mīlākais;mīlākajiem;mīlākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
vingrais;vingrā;vingrDEL(ais)INS(ā);INS(ā);DEL(ais)
debess;debesi;debeDEL(s)sINS(i);INS(i);DEL(s)
reliģiskākais;reliģiskākos;reliģiskākDEL(ai)INS(o)s;INS(o);DEL(ai)
šunelis;šunelī;šunelDEL(is)INS(ī);INS(ī);DEL(is)
zīdīt;zīdot;zīdDEL(ī)INS(o)t;INS(o);DEL(ī)
miegaināks;miegainākiem;miegainākDEL(s)INS(iem);INS(iem);DEL(s)
store;storu;storDEL(e)INS(u);INS(u);DEL(e)
priekšstats;priekšstatu;priekšstatDEL(s)INS(u);INS(u);DEL(s)
raudulīgākais;raudulīgāko;raudulīgākDEL(ais)INS(o);INS(o);DEL(ais)
simboliskāks;simboliskākai;simboliskākDEL(s)INS(ai);INS(ai);DEL(s)
ontoloģiskais;ontoloģisko;ontoloģiskDEL(ais)INS(o);INS(o);DEL(ais)
daiļāks;daiļākai;daiļākDEL(s)INS(ai);INS(ai);DEL(s)
tapt;topam;tINS(op)aDEL(pt)INS(m);INS(op),INS(m);DEL(pt)
iecept;iecepu;iecepDEL(t)INS(u);INS(u);DEL(t)
mist;mītiet;mINS(īt)iDEL(s)INS(e)t;INS(īt),INS(e);DEL(s)
nedot;nedevāt;nedDEL(o)INS(evā)t;INS(evā);DEL(o)
piederēt;piederot;piederDEL(ē)INS(o)t;INS(o);DEL(ē)
paart;paarts;paartINS(s);INS(s);
vismīkstākais;vismīkstākajai;vismīkstākINS(aj)aiDEL(s);INS(aj);DEL(s)
visarktiskākais;visarktiskākie;visarktiskākDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s)
lingvistiskais;lingvistiskā;lingvistiskDEL(ais)INS(ā);INS(ā);DEL(ais)
šķēde;šķēdēm;šķēdDEL(e)INS(ēm);INS(ēm);DEL(e)
nesākt;lai nesāk;INS(lai )nesākDEL(t);INS(lai );DEL(t)
svaine;svaines;svaineINS(s);INS(s);
eļļa;eļļām;eļļDEL(a)INS(ām);INS(ām);DEL(a)
valodīgais;valodīgajām;valodīgaDEL(is)INS(jām);INS(jām);DEL(is)
visņiprākais;visņiprākais;visņiprākais;;
mironis;mironī;mironDEL(is)INS(ī);INS(ī);DEL(is)
zīdīt;esot zīdījis;INS(esot )zīdīDEL(t)INS(jis);INS(esot ),INS(jis);DEL(t)
atbildēt;lai atbild;INS(lai )atbildDEL(ēt);INS(lai );DEL(ēt)
bēdīgākais;bēdīgākās;bēdīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
neiedot;neiedot;neiedot;;
valodniecība;valodniecība;valodniecība;;
tēvs;tēvā;tēvDEL(s)INS(ā);INS(ā);DEL(s)
truļais;truļo;truļDEL(ais)INS(o);INS(o);DEL(ais)
aizspriedums;aizspriedumiem;aizsprieduINS(mie)mDEL(s);INS(mie);DEL(s)
nestrādāšana;nestrādāšanas;nestrādāšanaINS(s);INS(s);
liet;lejat;lDEL(i)eINS(ja)t;INS(ja);DEL(i)
atvasara;atvasarām;atvasarDEL(a)INS(ām);INS(ām);DEL(a)
plašs;plašu;plašDEL(s)INS(u);INS(u);DEL(s)
slimais;slimajai;slimINS(aj)aiDEL(s);INS(aj);DEL(s)
eiropejiskākais;eiropejiskāko;eiropejiskākDEL(ais)INS(o);INS(o);DEL(ais)
zīdināt;esot jāzīdina;INS(esot jā)zīdinDEL(āt)INS(a);INS(esot jā),INS(a);DEL(āt)
sausāks;sausākām;sausākDEL(s)INS(ām);INS(ām);DEL(s)
septiņnieks;septiņnieku;septiņniekDEL(s)INS(u);INS(u);DEL(s)
spanis;spani;spaniDEL(s);;DEL(s)
dāsnāks;dāsnākām;dāsnākDEL(s)INS(ām);INS(ām);DEL(s)
miesīgākais;miesīgāko;miesīgākDEL(ais)INS(o);INS(o);DEL(ais)
bulgāriskākais;bulgāriskākajam;bulgāriskākaDEL(is)INS(jam);INS(jam);DEL(is)
ejakulēt;ejakulējām;ejakulēDEL(t)INS(jām);INS(jām);DEL(t)
jemenietis;jemeniešiem;jemenieDEL(tis)INS(šiem);INS(šiem);DEL(tis)
klinšainākais;klinšainākie;klinšainākDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s)
muļķīgākais;muļķīgākā;muļķīgākDEL(ais)INS(ā);INS(ā);DEL(ais)
kalnainākais;kalnainākajiem;kalnainākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
knašais;knašie;knašDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s)
zemniece;zemnieces;zemnieceINS(s);INS(s);
telefonēšana;telefonēšana;telefonēšana;;
vāverēns;vāverēna;vāverēnDEL(s)INS(a);INS(a);DEL(s)
britiskais;britisko;britiskDEL(ais)INS(o);INS(o);DEL(ais)
bēda;bēdu;bēdDEL(a)INS(u);INS(u);DEL(a)
sociālistiskais;sociālistiskie;sociālistiskDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s)
mājdzīvnieks;mājdzīvniekus;mājdzīvniekINS(u)s;INS(u);
nebēdne;nebēdni;nebēdnDEL(e)INS(i);INS(i);DEL(e)
eiropeiskākais;eiropeiskāko;eiropeiskākDEL(ais)INS(o);INS(o);DEL(ais)
gailis;gaiļiem;gaiDEL(lis)INS(ļiem);INS(ļiem);DEL(lis)
kompjūters;kompjūteru;kompjūterDEL(s)INS(u);INS(u);DEL(s)
nerunāt;nerunājot;nerunāINS(jo)t;INS(jo);
abate;abates;abateINS(s);INS(s);
komēta;komētām;komētDEL(a)INS(ām);INS(ām);DEL(a)
nesaprašana;nesaprašanas;nesaprašanaINS(s);INS(s);
mēļākais;mēļākās;mēļākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
cilvēciskāks;cilvēciskākai;cilvēciskākDEL(s)INS(ai);INS(ai);DEL(s)
nerast;neradīs;neraINS(dī)sDEL(t);INS(dī);DEL(t)
raksturīgums;raksturīguma;raksturīgumDEL(s)INS(a);INS(a);DEL(s)
pacept;lai pacep;INS(lai )pacepDEL(t);INS(lai );DEL(t)
milzīgais;milzīgās;milzīgDEL(ai)INS(ā)s;INS(ā);DEL(ai)
nenāvēt;nenāvējis;nenāvēDEL(t)INS(jis);INS(jis);DEL(t)
realizēt;realizējot;realizēINS(jo)t;INS(jo);
rupja vīle;rupju vīli;rupjDEL(a)INS(u) vīlDEL(e)INS(i);INS(u),INS(i);DEL(a),DEL(e)
amerikāniskākais;amerikāniskākos;amerikāniskākDEL(ai)INS(o)s;INS(o);DEL(ai)
horvātiskais;horvātisko;horvātiskDEL(ais)INS(o);INS(o);DEL(ais)
knauslis;knauslis;knauslis;;
nemirst;nemirsu;nemirsDEL(t)INS(u);INS(u);DEL(t)
neprostituēties;neprostituējies;neprostituēDEL(t)INS(j)ies;INS(j);DEL(t)
trusene;truseņu;trusDEL(en)eINS(ņu);INS(ņu);DEL(en)
velsisks;velsiskus;velsiskINS(u)s;INS(u);
necaurredzamākais;necaurredzamākajā;necaurredzamākaDEL(is)INS(jā);INS(jā);DEL(is)
nestumt;nestumsim;nestuINS(msi)mDEL(t);INS(msi);DEL(t)
milzīgums;milzīgumam;milzīguINS(ma)mDEL(s);INS(ma);DEL(s)
bāra bērns;bāra bērniem;bāra bērnDEL(s)INS(iem);INS(iem);DEL(s)
filozofiskāks;filozofiskāku;filozofiskākDEL(s)INS(u);INS(u);DEL(s)
nemazgāt;nemazgāsim;nemazgāDEL(t)INS(sim);INS(sim);DEL(t)
ķīsis;ķīsis;ķīsis;;
dzīvāks;dzīvāku;dzīvākDEL(s)INS(u);INS(u);DEL(s)
nesmaidīt;nesmaidīsi;nesmaidīDEL(t)INS(si);INS(si);DEL(t)
nezīst;nezīzdams;nezīINS(zdam)sDEL(t);INS(zdam);DEL(t)
šūna;šūna;šūna;;
mutīgākais;mutīgākajā;mutīgākaDEL(is)INS(jā);INS(jā);DEL(is)
vislatviskākais;vislatviskākos;vislatviskākDEL(ai)INS(o)s;INS(o);DEL(ai)
iztulkošana;iztulkošanas;iztulkošanaINS(s);INS(s);
sila strazds;sila strazdos;sila strazdINS(o)s;INS(o);
debates;debatēs;debatDEL(e)INS(ē)s;INS(ē);DEL(e)
ūsains;ūsainas;ūsainINS(a)s;INS(a);
realizēt;realizējam;realizēDEL(t)INS(jam);INS(jam);DEL(t)
malārijods;malārijodu;malārijodDEL(s)INS(u);INS(u);DEL(s)
nenazalizēt;nenazalizēsit;nenazalizēINS(si)t;INS(si);
resns;resniem;resnDEL(s)INS(iem);INS(iem);DEL(s)
ērkšķaināks;ērkšķainākiem;ērkšķainākDEL(s)INS(iem);INS(iem);DEL(s)
vistumšmatainākais;vistumšmataināko;vistumšmatainākDEL(ais)INS(o);INS(o);DEL(ais)
pastniece;pastniece;pastniece;;
vislokanākais;vislokanākā;vislokanākDEL(ais)INS(ā);INS(ā);DEL(ais)
nemantīgs;nemantīgos;nemantīgINS(o)s;INS(o);
truļāks;truļākas;truļākINS(a)s;INS(a);
bagātināt;bagātināsi;bagātināDEL(t)INS(si);INS(si);DEL(t)
visspožākais;visspožākos;visspožākDEL(ai)INS(o)s;INS(o);DEL(ai)
patiesākais;patiesākos;patiesākDEL(ai)INS(o)s;INS(o);DEL(ai)
nebēdīgums;nebēdīgum;nebēdīgumDEL(s);;DEL(s)
ietekmīgais;ietekmīgo;ietekmīgDEL(ais)INS(o);INS(o);DEL(ais)
nedancināt;nedancinājis;nedancināDEL(t)INS(jis);INS(jis);DEL(t)
ateroskleroze;aterosklerozes;aterosklerozeINS(s);INS(s);
rātenākais;rātenākās;rātenākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
slavenāks;slavenākiem;slavenākDEL(s)INS(iem);INS(iem);DEL(s)
mīlāks;mīlākām;mīlākDEL(s)INS(ām);INS(ām);DEL(s)
iestāde;iestādei;iestādeINS(i);INS(i);
visizraēliskākais;visizraēliskākajiem;visizraēliskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
staigs;staigai;staigDEL(s)INS(ai);INS(ai);DEL(s)
kanādiskākais;kanādiskākajiem;kanādiskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
nekošana;nekošanu;nekošanDEL(a)INS(u);INS(u);DEL(a)
istaba;istabas;istabaINS(s);INS(s);
gatavais;gatavā;gatavDEL(ais)INS(ā);INS(ā);DEL(ais)
nekost;nekod;nekoDEL(st)INS(d);INS(d);DEL(st)
nebloķēt;nebloķēsim;nebloķēDEL(t)INS(sim);INS(sim);DEL(t)
neglābšana;neglābšanu;neglābšanDEL(a)INS(u);INS(u);DEL(a)
sūkāt;sūkā;sūkāDEL(t);;DEL(t)
visslepenākais;visslepenākā;visslepenākDEL(ais)INS(ā);INS(ā);DEL(ais)
nemainīt;nemainām;nemainDEL(īt)INS(ām);INS(ām);DEL(īt)
kucēns;kucēnos;kucēnINS(o)s;INS(o);
vispilsoniskākais;vispilsoniskāko;vispilsoniskākDEL(ais)INS(o);INS(o);DEL(ais)
tumšākais;tumšākais;tumšākais;;
visrožainākais;visrožainākajos;visrožainākaDEL(i)INS(jo)s;INS(jo);DEL(i)
nepārtulkot;nepārtulko;nepārtulkoDEL(t);;DEL(t)
auglīgais;auglīgo;auglīgDEL(ais)INS(o);INS(o);DEL(ais)
neapart;neaparsim;neaparDEL(t)INS(sim);INS(sim);DEL(t)
ticēt;ticēšu;ticēDEL(t)INS(šu);INS(šu);DEL(t)
kārtot;kārtosit;kārtoINS(si)t;INS(si);
morāliste;morāliste;morāliste;;
vislieliskākais;vislieliskāko;vislieliskākDEL(ais)INS(o);INS(o);DEL(ais)
tautiete;tautietēm;tautietDEL(e)INS(ēm);INS(ēm);DEL(e)
kardioloģiskais;kardioloģiskie;kardioloģiskDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s)
grūsnais;grūsnās;grūsnDEL(ai)INS(ā)s;INS(ā);DEL(ai)
dzīvojamā istaba;dzīvojamā istabām;dzīvojamā istabDEL(a)INS(ām);INS(ām);DEL(a)
teika;teika;teika;;
neredzēt;neredzēsim;neredzēDEL(t)INS(sim);INS(sim);DEL(t)
raudais;raudos;raudDEL(ai)INS(o)s;INS(o);DEL(ai)
veiklais;veiklo;veiklDEL(ais)INS(o);INS(o);DEL(ais)
pakistānisks;pakistānisku;pakistāniskDEL(s)INS(u);INS(u);DEL(s)
visstaigņākais;visstaigņākā;visstaigņākDEL(ais)INS(ā);INS(ā);DEL(ais)
garlaicīgais;garlaicīgajai;garlaicīgINS(aj)aiDEL(s);INS(aj);DEL(s)
pētīt;pētām;pēDEL(tī)tINS(ām);INS(ām);DEL(tī)
izglītība;izglītības;izglītībaINS(s);INS(s);
kopt;lai kopj;INS(lai )kopDEL(t)INS(j);INS(lai ),INS(j);DEL(t)
jaunums;jaunumus;jaunumINS(u)s;INS(u);
visviesmīlīgākais;visviesmīlīgākajā;visviesmīlīgākaDEL(is)INS(jā);INS(jā);DEL(is)
spuldze;spuldzēm;spuldzDEL(e)INS(ēm);INS(ēm);DEL(e)
tievais;tievajiem;tievaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
vistumšākais;vistumšākā;vistumšākDEL(ais)INS(ā);INS(ā);DEL(ais)
brūnais;brūnās;brūnDEL(ai)INS(ā)s;INS(ā);DEL(ai)
visspirgtākais;visspirgtākajiem;visspirgtākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
brokastot;brokastos;brokastoDEL(t)INS(s);INS(s);DEL(t)
dzīvespriecīgākais;dzīvespriecīgākajam;dzīvespriecīgākaDEL(is)INS(jam);INS(jam);DEL(is)
dusēt;dusēšot;dusēINS(šo)t;INS(šo);
neprasīšana;neprasīšanu;neprasīšanDEL(a)INS(u);INS(u);DEL(a)
visziemīgākais;visziemīgākajām;visziemīgākaDEL(is)INS(jām);INS(jām);DEL(is)
botāniskais;botānisko;botāniskDEL(ais)INS(o);INS(o);DEL(ais)
komfortablais;komfortablos;komfortablDEL(ai)INS(o)s;INS(o);DEL(ai)
korejiskākais;korejiskākajām;korejiskākaDEL(is)INS(jām);INS(jām);DEL(is)
kanādietis;kanādiešus;kanādieDEL(ti)INS(šu)s;INS(šu);DEL(ti)
visaustriskākais;visaustriskāko;visaustriskākDEL(ais)INS(o);INS(o);DEL(ais)
vismitrākais;vismitrāko;vismitrākDEL(ais)INS(o);INS(o);DEL(ais)
anālāks;anālākās;anālākINS(ā)s;INS(ā);
skandināviskais;skandināviskās;skandināviskDEL(ai)INS(ā)s;INS(ā);DEL(ai)
stīvāks;stīvāku;stīvākDEL(s)INS(u);INS(u);DEL(s)
klāt;klāj;klāDEL(t)INS(j);INS(j);DEL(t)
latve;latve;latve;;
mākonāks;mākonākus;mākonākINS(u)s;INS(u);
cariskākais;cariskākajām;cariskākaDEL(is)INS(jām);INS(jām);DEL(is)
garāks;garākā;garākDEL(s)INS(ā);INS(ā);DEL(s)
latve;latves;latveINS(s);INS(s);
spannis;spaņņos;spaDEL(nni)INS(ņņo)s;INS(ņņo);DEL(nni)
siltais;siltajiem;siltaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
kļūdaināks;kļūdainākās;kļūdainākINS(ā)s;INS(ā);
visdebilākais;visdebilākā;visdebilākDEL(ais)INS(ā);INS(ā);DEL(ais)
visziņkārākais;visziņkārākajās;visziņkārākaDEL(i)INS(jā)s;INS(jā);DEL(i)
kustēšana;kustēšanu;kustēšanDEL(a)INS(u);INS(u);DEL(a)
domāt;domājam;domāDEL(t)INS(jam);INS(jam);DEL(t)
neaizstāvēt;neaizstāvēsi;neaizstāvēDEL(t)INS(si);INS(si);DEL(t)
gardais;gardajai;gardINS(aj)aiDEL(s);INS(aj);DEL(s)
irākiskais;irākiskajām;irākiskaDEL(is)INS(jām);INS(jām);DEL(is)
visgludākais;visgludākajā;visgludākaDEL(is)INS(jā);INS(jā);DEL(is)
ministrs;ministri;ministrDEL(s)INS(i);INS(i);DEL(s)
visanormālākais;visanormālākajai;visanormālākINS(aj)aiDEL(s);INS(aj);DEL(s)
katarietis;katariešiem;katarieDEL(tis)INS(šiem);INS(šiem);DEL(tis)
kanādiete;kanādiete;kanādiete;;
viskontinentālākais;viskontinentālākajiem;viskontinentālākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s)
horvātiskais;horvātiskie;horvātiskDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s)
oranžīgāks;oranžīgāku;oranžīgākDEL(s)INS(u);INS(u);DEL(s)
apātiskākais;apātiskākā;apātiskākDEL(ais)INS(ā);INS(ā);DEL(ais)
lācēns;lācēns;lācēns;;
mezglainais;mezglainās;mezglainDEL(ai)INS(ā)s;INS(ā);DEL(ai)
labība;labībām;labībDEL(a)INS(ām);INS(ām);DEL(a)
zvaigzne;zvaigznes;zvaigzneINS(s);INS(s);
rasmīgais;rasmīgajai;rasmīgINS(aj)aiDEL(s);INS(aj);DEL(s)
mikstais;miksto;mikstDEL(ais)INS(o);INS(o);DEL(ais)
vismetafiziskākais;vismetafiziskākajos;vismetafiziskākaDEL(i)INS(jo)s;INS(jo);DEL(i)
ortogrāfisks;ortogrāfisku;ortogrāfiskDEL(s)INS(u);INS(u);DEL(s)
atart;esot ataris;INS(esot )atarDEL(t)INS(is);INS(esot ),INS(is);DEL(t)
vieta;vietās;vietDEL(a)INS(ās);INS(ās);DEL(a)
neziemot;neziemotu;neziemotINS(u);INS(u);
visvelsiskākais;visvelsiskākajās;visvelsiskākaDEL(i)INS(jā)s;INS(jā);DEL(i)
liegt;liedzam;lieDEL(gt)INS(dzam);INS(dzam);DEL(gt)
saldenākais;saldenāko;saldenākDEL(ais)INS(o);INS(o);DEL(ais)
rupjais;rupjo;rupjDEL(ais)INS(o);INS(o);DEL(ais)
fizioloģiskais;fizioloģisko;fizioloģiskDEL(ais)INS(o);INS(o);DEL(ais)
cūku kūts;cūku kūts;cūku kūts;;
strēlnieks;strēlniekam;strēlniekDEL(s)INS(am);INS(am);DEL(s)
visturciskākais;visturciskāko;visturciskākDEL(ais)INS(o);INS(o);DEL(ais)
morālisms;morālism;morālismDEL(s);;DEL(s)
dūre;dūres;dūreINS(s);INS(s);
klausīt;klausījis;klausīDEL(t)INS(jis);INS(jis);DEL(t)
patulkot;patulko;patulkoDEL(t);;DEL(t)
raižpilnākais;raižpilnākajām;raižpilnākaDEL(is)INS(jām);INS(jām);DEL(is)
īsināt;īsināsim;īsināDEL(t)INS(sim);INS(sim);DEL(t)
strādīgāks;strādīgākos;strādīgākINS(o)s;INS(o);
slaidāks;slaidākas;slaidākINS(a)s;INS(a);
jēdzieniskais;jēdzieniskā;jēdzieniskDEL(ais)INS(ā);INS(ā);DEL(ais)
vistautiskākais;vistautiskākās;vistautiskākDEL(ai)INS(ā)s;INS(ā);DEL(ai)
spriest;sprieda;sprieDEL(st)INS(da);INS(da);DEL(st)
pārart;esot pāraris;INS(esot )pārarDEL(t)INS(is);INS(esot ),INS(is);DEL(t)
