Original;Split
INS(us);INS(u),INS(s)
INS(ārēris);INS(ā),INS(r),INS(ē),INS(r),INS(i),INS(s)
INS(ēdātur);INS(ē),INS(d),INS(ā),INS(t),INS(u),INS(r)
INS(ātōrēs);INS(ā),INS(t),INS(ō),INS(r),INS(ē),INS(s)
INS(ōcāvistis);INS(ō),INS(c),INS(ā),INS(v),INS(i),INS(s),INS(t),INS(i),INS(s)
INS(ītā);INS(ī),INS(t),INS(ā)
INS(ēn);INS(ē),INS(n)
INS(ūrābāt);INS(ū),INS(r),INS(ā),INS(b),INS(ā),INS(t)
INS(īta);INS(ī),INS(t),INS(a)
INS(ēdit);INS(ē),INS(d),INS(i),INS(t)
INS(rō);INS(r),INS(ō)
INS(ārētis);INS(ā),INS(r),INS(ē),INS(t),INS(i),INS(s)
INS(ūrrīrent);INS(ū),INS(r),INS(r),INS(ī),INS(r),INS(e),INS(n),INS(t)
INS(ātīve);INS(ā),INS(t),INS(ī),INS(v),INS(e)
INS(ānī);INS(ā),INS(n),INS(ī)
INS(erēmus);INS(e),INS(r),INS(ē),INS(m),INS(u),INS(s)
INS(rāmu);INS(r),INS(ā),INS(m),INS(u)
INS(ent);INS(e),INS(n),INS(t)
INS(ābimur);INS(ā),INS(b),INS(i),INS(m),INS(u),INS(r)
INS(ōnum);INS(ō),INS(n),INS(u),INS(m)
INS(bu);INS(b),INS(u)
INS(ōrum);INS(ō),INS(r),INS(u),INS(m)
INS(ōrātis);INS(ō),INS(r),INS(ā),INS(t),INS(i),INS(s)
INS(erimus);INS(e),INS(r),INS(i),INS(m),INS(u),INS(s)
INS(ūdō);INS(ū),INS(d),INS(ō)
INS(āciōr);INS(ā),INS(c),INS(i),INS(ō),INS(r)
INS(ātī);INS(ā),INS(t),INS(ī)
INS(āre);INS(ā),INS(r),INS(e)
INS(um);INS(u),INS(m)
INS(iāl);INS(i),INS(ā),INS(l)
INS(īvā);INS(ī),INS(v),INS(ā)
INS(ātem);INS(ā),INS(t),INS(e),INS(m)
INS(ābimus);INS(ā),INS(b),INS(i),INS(m),INS(u),INS(s)
INS(ātūriōr);INS(ā),INS(t),INS(ū),INS(r),INS(i),INS(ō),INS(r)
INS(ētur);INS(ē),INS(t),INS(u),INS(r)
INS(āvōrum);INS(ā),INS(v),INS(ō),INS(r),INS(u),INS(m)
INS(īm);INS(ī),INS(m)
INS(nī);INS(n),INS(ī)
INS(erēm);INS(e),INS(r),INS(ē),INS(m)
INS(āverat);INS(ā),INS(v),INS(e),INS(r),INS(a),INS(t)
INS(īvō);INS(ī),INS(v),INS(ō)
INS(īcē);INS(ī),INS(c),INS(ē)
INS(ēgerat);INS(ē),INS(g),INS(e),INS(r),INS(a),INS(t)
INS(ērī);INS(ē),INS(r),INS(ī)
INS(ātibu);INS(ā),INS(t),INS(i),INS(b),INS(u)
INS(ūtāre);INS(ū),INS(t),INS(ā),INS(r),INS(e)
INS(ātīvī);INS(ā),INS(t),INS(ī),INS(v),INS(ī)
INS(ābās);INS(ā),INS(b),INS(ā),INS(s)
INS(ābitur);INS(ā),INS(b),INS(i),INS(t),INS(u),INS(r)
INS(ūsū);INS(ū),INS(s),INS(ū)
INS(ās);INS(ā),INS(s)
INS(āvissētis);INS(ā),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i),INS(s)
INS(āverant);INS(ā),INS(v),INS(e),INS(r),INS(a),INS(n),INS(t)
INS(ēbāminī);INS(ē),INS(b),INS(ā),INS(m),INS(i),INS(n),INS(ī)
INS(āmus);INS(ā),INS(mus)
INS(ōcāre);INS(ō),INS(c),INS(ā),INS(r),INS(e)
INS(ūrāvisset);INS(ū),INS(r),INS(ā),INS(v),INS(i),INS(s),INS(s),INS(e),INS(t)
INS(ōrābitis);INS(ō),INS(r),INS(ā),INS(b),INS(i),INS(t),INS(i),INS(s)
INS(ōrō);INS(ō),INS(r),INS(ō)
INS(ōne);INS(ō),INS(n),INS(e)
INS(ōcēditis);INS(ō),INS(c),INS(ē),INS(d),INS(i),INS(t),INS(i),INS(s)
INS(it);INS(i),INS(t)
INS(īret);INS(ī),INS(r),INS(e),INS(t)
INS(ūcō);INS(ū),INS(c),INS(ō)
INS(icēs);INS(i),INS(c),INS(ē),INS(s)
INS(ūra);INS(ū),INS(r),INS(a)
INS(ātōrum);INS(ā),INS(t),INS(ō),INS(r),INS(u),INS(m)
INS(ēmān);INS(ē),INS(m),INS(ā),INS(n)
INS(tur);INS(t),INS(u),INS(r)
INS(ābis);INS(ā),INS(b),INS(i),INS(s)
INS(u);INS(u)
INS(rītis);INS(r),INS(ī),INS(t),INS(i),INS(s)
INS(untō);INS(u),INS(n),INS(t),INS(ō)
INS(ūdinib);INS(ū),INS(d),INS(i),INS(n),INS(i),INS(b)
INS(eram);INS(e),INS(r),INS(a),INS(m)
INS(āvit);INS(ā),INS(v),INS(i),INS(t)
INS(īce);INS(ī),INS(c),INS(e)
INS(ītī);INS(ī),INS(t),INS(ī)
INS(erem);INS(e),INS(r),INS(e),INS(m)
INS(ar);INS(a),INS(r)
INS(sīvissēmu);INS(s),INS(ī),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(m),INS(u)
INS(seram);INS(s),INS(e),INS(r),INS(a),INS(m)
INS(ābitis);INS(ā),INS(b),INS(i),INS(t),INS(i),INS(s)
INS(ten);INS(t),INS(e),INS(n)
INS(sāverāmu);INS(s),INS(ā),INS(v),INS(e),INS(r),INS(ā),INS(m),INS(u)
INS(rint);INS(r),INS(i),INS(n),INS(t)
INS(ābunt);INS(ā),INS(b),INS(u),INS(n),INS(t)
INS(ānōrum);INS(ā),INS(n),INS(ō),INS(r),INS(u),INS(m)
INS(māru);INS(m),INS(ā),INS(r),INS(u)
INS(sistī);INS(s),INS(i),INS(s),INS(t),INS(ī)
INS(xērunt);INS(x),INS(ē),INS(r),INS(u),INS(n),INS(t)
INS(ma);INS(m),INS(a)
INS(erit);INS(e),INS(r),INS(i),INS(t)
INS(antō);INS(a),INS(n),INS(t),INS(ō)
INS(erim);INS(e),INS(r),INS(i),INS(m)
INS(ōnātā);INS(ō),INS(n),INS(ā),INS(t),INS(ā)
INS(ēris);INS(ē),INS(r),INS(i),INS(s)
INS(īgātur);INS(ī),INS(g),INS(ā),INS(t),INS(u),INS(r)
INS(ōnibus);INS(ō),INS(n),INS(i),INS(b),INS(u),INS(s)
INS(āvissem);INS(ā),INS(v),INS(i),INS(s),INS(s),INS(e),INS(m)
INS(ādīcēris);INS(ā),INS(d),INS(ī),INS(c),INS(ē),INS(r),INS(i),INS(s)
INS(īnāle);INS(ī),INS(n),INS(ā),INS(l),INS(e)
INS(am);INS(a),INS(m)
INS(ēbātur);INS(ē),INS(b),INS(ā),INS(t),INS(u),INS(r)
INS(ābit);INS(ā),INS(b),INS(i),INS(t)
INS(āderentur);INS(ā),INS(d),INS(e),INS(r),INS(e),INS(n),INS(t),INS(u),INS(r)
INS(ōnās);INS(ō),INS(n),INS(ā),INS(s)
INS(ūdinēs);INS(ū),INS(d),INS(i),INS(n),INS(ē),INS(s)
INS(āminī);INS(ā),INS(m),INS(i),INS(n),INS(ī)
INS(ēbātis);INS(ē),INS(b),INS(ā),INS(t),INS(i),INS(s)
INS(ābātis);INS(ā),INS(b),INS(ā),INS(t),INS(i),INS(s)
INS(īrēt);INS(ī),INS(r),INS(ē),INS(t)
INS(ēnā);INS(ē),INS(n),INS(ā)
INS(rābuntu);INS(r),INS(ā),INS(b),INS(u),INS(n),INS(t),INS(u)
INS(ābāris);INS(ā),INS(b),INS(ā),INS(r),INS(i),INS(s)
INS(īrent);INS(ī),INS(r),INS(e),INS(n),INS(t)
INS(ūriminī);INS(ū),INS(r),INS(i),INS(m),INS(i),INS(n),INS(ī)
INS(ōnem);INS(ō),INS(n),INS(e),INS(m)
INS(rībē);INS(r),INS(ī),INS(b),INS(ē)
INS(iminī);INS(i),INS(m),INS(i),INS(n),INS(ī)
INS(rēpantu);INS(r),INS(ē),INS(p),INS(a),INS(n),INS(t),INS(u)
INS(ūpās);INS(ū),INS(p),INS(ā),INS(s)
INS(imus);INS(i),INS(m),INS(u),INS(s)
INS(er);INS(e),INS(r)
INS(āverās);INS(ā),INS(v),INS(e),INS(r),INS(ā),INS(s)
INS(ābant);INS(ā),INS(b),INS(a),INS(n),INS(t)
INS(ātōri);INS(ā),INS(t),INS(ō),INS(r),INS(i)
INS(ārent);INS(ā),INS(r),INS(e),INS(n),INS(t)
INS(īnō);INS(ī),INS(n),INS(ō)
INS(ōmā);INS(ō),INS(m),INS(ā)
INS(ātārum);INS(ā),INS(t),INS(ā),INS(r),INS(u),INS(m)
INS(ūrābam);INS(ū),INS(r),INS(ā),INS(b),INS(a),INS(m)
INS(cu);INS(c),INS(u)
INS(ēperāt);INS(ē),INS(p),INS(e),INS(r),INS(ā),INS(t)
INS(āvissēmus);INS(ā),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(m),INS(u),INS(s)
INS(īgām);INS(ī),INS(g),INS(ā),INS(m)
INS(īdat);INS(ī),INS(d),INS(a),INS(t)
INS(rībentu);INS(r),INS(ī),INS(b),INS(e),INS(n),INS(t),INS(u)
INS(sist);INS(s),INS(i),INS(s),INS(t)
INS(rīdērē);INS(r),INS(ī),INS(d),INS(ē),INS(r),INS(ē)
INS(ārētur);INS(ā),INS(r),INS(ē),INS(t),INS(u),INS(r)
INS(āb);INS(ā),INS(b)
INS(āverīmus);INS(ā),INS(v),INS(e),INS(r),INS(ī),INS(m),INS(u),INS(s)
INS(uerint);INS(u),INS(e),INS(r),INS(i),INS(n),INS(t)
INS(āt);INS(ā),INS(t)
INS(ēvissēti);INS(ē),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i)
INS(ētī);INS(ē),INS(t),INS(ī)
INS(īnā);INS(ī),INS(n),INS(ā)
INS(ēnābitur);INS(ē),INS(n),INS(ā),INS(b),INS(i),INS(t),INS(u),INS(r)
INS(sse);INS(s),INS(s),INS(e)
INS(itis);INS(i),INS(t),INS(i),INS(s)
INS(īcī);INS(ī),INS(c),INS(ī)
INS(ēiūrāv);INS(ē),INS(i),INS(ū),INS(r),INS(ā),INS(v)
INS(int);INS(i),INS(n),INS(t)
INS(ōnī);INS(ō),INS(n),INS(ī)
INS(ūtārēt);INS(ū),INS(t),INS(ā),INS(r),INS(ē),INS(t)
INS(ātē);INS(ā),INS(t),INS(ē)
INS(ābiminī);INS(ā),INS(b),INS(i),INS(m),INS(i),INS(n),INS(ī)
INS(ōrāvissēs);INS(ō),INS(r),INS(ā),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(s)
INS(īv);INS(ī),INS(v)
INS(stī);INS(s),INS(t),INS(ī)
INS(xerāmus);INS(x),INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s)
INS(sit);INS(s),INS(i),INS(t)
INS(rārēmu);INS(r),INS(ā),INS(r),INS(ē),INS(m),INS(u)
INS(ōrentu);INS(ō),INS(r),INS(e),INS(n),INS(t),INS(u)
INS(ēns);INS(ē),INS(n),INS(s)
INS(tāvērun);INS(t),INS(ā),INS(v),INS(ē),INS(r),INS(u),INS(n)
INS(īna);INS(ī),INS(n),INS(a)
INS(ērēmur);INS(ē),INS(r),INS(ē),INS(m),INS(u),INS(r)
INS(āgē);INS(ā),INS(g),INS(ē)
INS(ēmus);INS(ē),INS(m),INS(u),INS(s)
INS(tīveran);INS(t),INS(ī),INS(v),INS(e),INS(r),INS(a),INS(n)
INS(ēs);INS(ē),INS(s)
INS(ēfīnītī);INS(ē),INS(f),INS(ī),INS(n),INS(ī),INS(t),INS(ī)
INS(ōrīcāvistis);INS(ō),INS(r),INS(ī),INS(c),INS(ā),INS(v),INS(i),INS(s),INS(t),INS(i),INS(s)
INS(ōnentur);INS(ō),INS(n),INS(e),INS(n),INS(t),INS(u),INS(r)
INS(ānāret);INS(ā),INS(n),INS(ā),INS(r),INS(e),INS(t)
INS(ēbant);INS(ē),INS(b),INS(a),INS(n),INS(t)
INS(ōdāvissēs);INS(ō),INS(d),INS(ā),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(s)
INS(ūderis);INS(ū),INS(d),INS(e),INS(r),INS(i),INS(s)
INS(issēmus);INS(i),INS(s),INS(s),INS(ē),INS(m),INS(u),INS(s)
INS(ēbantur);INS(ē),INS(b),INS(a),INS(n),INS(t),INS(u),INS(r)
INS(āverō);INS(ā),INS(v),INS(e),INS(r),INS(ō)
INS(ābuntur);INS(ā),INS(b),INS(u),INS(n),INS(t),INS(u),INS(r)
INS(ēbar);INS(ē),INS(b),INS(a),INS(r)
INS(imur);INS(i),INS(m),INS(u),INS(r)
INS(serit);INS(s),INS(e),INS(r),INS(i),INS(t)
INS(ābāmus);INS(ā),INS(b),INS(ā),INS(m),INS(u),INS(s)
INS(ēbāmur);INS(ē),INS(b),INS(ā),INS(m),INS(u),INS(r)
INS(ārē);INS(ā),INS(r),INS(ē)
INS(exer);INS(e),INS(x),INS(e),INS(r)
INS(mus);INS(mu),INS(s)
INS(untur);INS(u),INS(n),INS(t),INS(u),INS(r)
INS(tāvera);INS(t),INS(ā),INS(v),INS(e),INS(r),INS(a)
INS(itur);INS(i),INS(t),INS(u),INS(r)
INS(īnae);INS(ī),INS(n),INS(a),INS(e)
INS(rātu);INS(r),INS(ā),INS(t),INS(u)
INS(dī);INS(d),INS(ī)
INS(ant);INS(a),INS(n),INS(t)
INS(ōrīcāverāmus);INS(ō),INS(r),INS(ī),INS(c),INS(ā),INS(v),INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s)
INS(īvī);INS(ī),INS(v),INS(ī)
INS(ūdam);INS(ū),INS(d),INS(a),INS(m)
INS(āverītis);INS(ā),INS(v),INS(e),INS(r),INS(ī),INS(t),INS(i),INS(s)
INS(ānārēmus);INS(ā),INS(n),INS(ā),INS(r),INS(ē),INS(m),INS(u),INS(s)
INS(isset);INS(i),INS(s),INS(s),INS(e),INS(t)
INS(tā);INS(t),INS(ā)
INS(āmur);INS(ā),INS(m),INS(u),INS(r)
INS(ābar);INS(ā),INS(b),INS(a),INS(r)
INS(īdam);INS(ī),INS(d),INS(a),INS(m)
INS(ssē);INS(s),INS(s),INS(ē)
INS(is);INS(i),INS(s)
INS(nta);INS(n),INS(t),INS(a)
INS(ārum);INS(ā),INS(r),INS(u),INS(m)
INS(te);INS(t),INS(e)
INS(ēnū);INS(ē),INS(n),INS(ū)
INS(īr);INS(ī),INS(r)
INS(ītāverās);INS(ī),INS(t),INS(ā),INS(v),INS(e),INS(r),INS(ā),INS(s)
INS(ētō);INS(ē),INS(t),INS(ō)
INS(īdin);INS(ī),INS(d),INS(i),INS(n)
INS(sserin);INS(s),INS(s),INS(e),INS(r),INS(i),INS(n)
INS(ūdinī);INS(ū),INS(d),INS(i),INS(n),INS(ī)
INS(āris);INS(ā),INS(r),INS(i),INS(s)
INS(erēris);INS(e),INS(r),INS(ē),INS(r),INS(i),INS(s)
INS(ēnī);INS(ē),INS(n),INS(ī)
INS(ābō);INS(ā),INS(b),INS(ō)
INS(isāverīt);INS(i),INS(s),INS(ā),INS(v),INS(e),INS(r),INS(ī),INS(t)
INS(nt);INS(n),INS(t)
INS(ībam);INS(ī),INS(b),INS(a),INS(m)
INS(īnās);INS(ī),INS(n),INS(ā),INS(s)
INS(āvistī);INS(ā),INS(v),INS(i),INS(s),INS(t),INS(ī)
INS(ējēc);INS(ē),INS(j),INS(ē),INS(c)
INS(ris);INS(r),INS(i),INS(s)
INS(erīs);INS(e),INS(r),INS(ī),INS(s)
INS(ōrāte);INS(ō),INS(r),INS(ā),INS(t),INS(e)
INS(ūrātō);INS(ū),INS(r),INS(ā),INS(t),INS(ō)
INS(āvātī);INS(ā),INS(v),INS(ā),INS(t),INS(ī)
INS(ērex);INS(ē),INS(r),INS(e),INS(x)
INS(īmus);INS(ī),INS(m),INS(u),INS(s)
INS(erentur);INS(e),INS(r),INS(e),INS(n),INS(t),INS(u),INS(r)
INS(rexe);INS(r),INS(e),INS(x),INS(e)
INS(uissēmus);INS(u),INS(i),INS(s),INS(s),INS(ē),INS(m),INS(u),INS(s)
INS(erār);INS(e),INS(r),INS(ā),INS(r)
INS(īgātī);INS(ī),INS(g),INS(ā),INS(t),INS(ī)
INS(ōnere);INS(ō),INS(n),INS(e),INS(r),INS(e)
INS(ēnūber);INS(ē),INS(n),INS(ū),INS(b),INS(e),INS(r)
INS(suisset);INS(s),INS(u),INS(i),INS(s),INS(s),INS(e),INS(t)
INS(dē);INS(d),INS(ē)
INS(erēmur);INS(e),INS(r),INS(ē),INS(m),INS(u),INS(r)
INS(resse);INS(r),INS(e),INS(s),INS(s),INS(e)
INS(āte);INS(ā),INS(t),INS(e)
INS(āle);INS(ā),INS(l),INS(e)
INS(īderētur);INS(ī),INS(d),INS(e),INS(r),INS(ē),INS(t),INS(u),INS(r)
INS(erītis);INS(e),INS(r),INS(ī),INS(t),INS(i),INS(s)
INS(ōjēcerim);INS(ō),INS(j),INS(ē),INS(c),INS(e),INS(r),INS(i),INS(m)
INS(īmō);INS(ī),INS(m),INS(ō)
INS(āvissent);INS(ā),INS(v),INS(i),INS(s),INS(s),INS(e),INS(n),INS(t)
INS(erer);INS(e),INS(r),INS(e),INS(r)
INS(īdī);INS(ī),INS(d),INS(ī)
INS(ōrant);INS(ō),INS(r),INS(a),INS(n),INS(t)
INS(ēlīv);INS(ē),INS(l),INS(ī),INS(v)
INS(rit);INS(r),INS(i),INS(t)
INS(t);INS(t)
INS(ōpīnāveram);INS(ō),INS(p),INS(ī),INS(n),INS(ā),INS(v),INS(e),INS(r),INS(a),INS(m)
INS(ōsā);INS(ō),INS(s),INS(ā)
INS(antur);INS(a),INS(n),INS(t),INS(u),INS(r)
INS(sset);INS(s),INS(s),INS(e),INS(t)
INS(tāban);INS(t),INS(ā),INS(b),INS(a),INS(n)
INS(īrāvī);INS(ī),INS(r),INS(ā),INS(v),INS(ī)
INS(tāvissen);INS(t),INS(ā),INS(v),INS(i),INS(s),INS(s),INS(e),INS(n)
INS(īver);INS(ī),INS(v),INS(e),INS(r)
INS(istī);INS(i),INS(s),INS(t),INS(ī)
INS(ārēminī);INS(ā),INS(r),INS(ē),INS(m),INS(i),INS(n),INS(ī)
INS(ōtū);INS(ō),INS(t),INS(ū)
INS(ībātur);INS(ī),INS(b),INS(ā),INS(t),INS(u),INS(r)
INS(ēmur);INS(ē),INS(m),INS(u),INS(r)
INS(ēnōdārēmus);INS(ē),INS(n),INS(ō),INS(d),INS(ā),INS(r),INS(ē),INS(m),INS(u),INS(s)
INS(ōnēum);INS(ō),INS(n),INS(ē),INS(u),INS(m)
INS(ātā);INS(ā),INS(t),INS(ā)
INS(ōrābātu);INS(ō),INS(r),INS(ā),INS(b),INS(ā),INS(t),INS(u)
INS(ābāminī);INS(ā),INS(b),INS(ā),INS(m),INS(i),INS(n),INS(ī)
INS(ītae);INS(ī),INS(t),INS(a),INS(e)
INS(ābātur);INS(ā),INS(b),INS(ā),INS(t),INS(u),INS(r)
INS(ēnāvissēs);INS(ē),INS(n),INS(ā),INS(v),INS(i),INS(s),INS(s),INS(ē),INS(s)
INS(erāmus);INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s)
INS(ēlū);INS(ē),INS(l),INS(ū)
INS(ntāvera);INS(n),INS(t),INS(ā),INS(v),INS(e),INS(r),INS(a)
INS(ex);INS(e),INS(x)
INS(āverint);INS(ā),INS(v),INS(e),INS(r),INS(i),INS(n),INS(t)
INS(īt);INS(ī),INS(t)
INS(ēlī);INS(ē),INS(l),INS(ī)
INS(issētis);INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i),INS(s)
INS(ētrāl);INS(ē),INS(t),INS(r),INS(ā),INS(l)
INS(ēiās);INS(ē),INS(i),INS(ā),INS(s)
INS(īverāmus);INS(ī),INS(v),INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s)
INS(īnōrum);INS(ī),INS(n),INS(ō),INS(r),INS(u),INS(m)
INS(uerant);INS(u),INS(e),INS(r),INS(a),INS(n),INS(t)
INS(ōlārum);INS(ō),INS(l),INS(ā),INS(r),INS(u),INS(m)
INS(āverātis);INS(ā),INS(v),INS(e),INS(r),INS(ā),INS(t),INS(i),INS(s)
INS(ēdinēs);INS(ē),INS(d),INS(i),INS(n),INS(ē),INS(s)
INS(ātūrā);INS(ā),INS(t),INS(ū),INS(r),INS(ā)
INS(īnē);INS(ī),INS(n),INS(ē)
INS(āvistis);INS(ā),INS(v),INS(i),INS(s),INS(t),INS(i),INS(s)
INS(ūnās);INS(ū),INS(n),INS(ā),INS(s)
INS(ētāl);INS(ē),INS(t),INS(ā),INS(l)
INS(tan);INS(t),INS(a),INS(n)
INS(ram);INS(r),INS(a),INS(m)
INS(ālīgā);INS(ā),INS(l),INS(ī),INS(g),INS(ā)
INS(ōrārēmus);INS(ō),INS(r),INS(ā),INS(r),INS(ē),INS(m),INS(u),INS(s)
INS(īsiōn);INS(ī),INS(s),INS(i),INS(ō),INS(n)
INS(iterāmus);INS(i),INS(t),INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s)
INS(ābam);INS(ā),INS(b),INS(a),INS(m)
INS(ȳ);INS(ȳ)
INS(ōrī);INS(ō),INS(r),INS(ī)
INS(ēgātō);INS(ē),INS(g),INS(ā),INS(t),INS(ō)
INS(ārī);INS(ā),INS(r),INS(ī)
INS(eret);INS(e),INS(r),INS(e),INS(t)
INS(ēpērunt);INS(ē),INS(p),INS(ē),INS(r),INS(u),INS(n),INS(t)
INS(rābantu);INS(r),INS(ā),INS(b),INS(a),INS(n),INS(t),INS(u)
INS(ntō);INS(n),INS(t),INS(ō)
INS(īcārēm);INS(ī),INS(c),INS(ā),INS(r),INS(ē),INS(m)
INS(ōrā);INS(ō),INS(r),INS(ā)
INS(ēcerant);INS(ē),INS(c),INS(e),INS(r),INS(a),INS(n),INS(t)
INS(ātis);INS(ā),INS(t),INS(i),INS(s)
INS(ssēs);INS(s),INS(s),INS(ē),INS(s)
INS(ārem);INS(ā),INS(r),INS(e),INS(m)
INS(tāverin);INS(t),INS(ā),INS(v),INS(e),INS(r),INS(i),INS(n)
INS(īsīverit);INS(ī),INS(s),INS(ī),INS(v),INS(e),INS(r),INS(i),INS(t)
INS(āverimus);INS(ā),INS(v),INS(e),INS(r),INS(i),INS(m),INS(u),INS(s)
INS(āret);INS(ā),INS(r),INS(e),INS(t)
INS(ēmū);INS(ē),INS(m),INS(ū)
INS(ēmānābis);INS(ē),INS(m),INS(ā),INS(n),INS(ā),INS(b),INS(i),INS(s)
INS(ūmi);INS(ū),INS(m),INS(i)
INS(ītō);INS(ī),INS(t),INS(ō)
INS(rānātu);INS(r),INS(ā),INS(n),INS(ā),INS(t),INS(u)
INS(āne);INS(ā),INS(n),INS(e)
INS(īva);INS(ī),INS(v),INS(a)
INS(ūrāte);INS(ū),INS(r),INS(ā),INS(t),INS(e)
INS(ādīximus);INS(ā),INS(d),INS(ī),INS(x),INS(i),INS(m),INS(u),INS(s)
INS(īgā);INS(ī),INS(g),INS(ā)
INS(mōru);INS(m),INS(ō),INS(r),INS(u)
INS(ānō);INS(ā),INS(n),INS(ō)
INS(ēlīmār);INS(ē),INS(l),INS(ī),INS(m),INS(ā),INS(r)
INS(rēnā);INS(r),INS(ē),INS(n),INS(ā)
INS(ācā);INS(ā),INS(c),INS(ā)
INS(īc);INS(ī),INS(c)
INS(ūta);INS(ū),INS(t),INS(a)
INS(ēta);INS(ē),INS(t),INS(a)
INS(tēs);INS(t),INS(ē),INS(s)
INS(rantu);INS(r),INS(a),INS(n),INS(t),INS(u)
INS(ācr);INS(ā),INS(c),INS(r)
INS(ān);INS(ā),INS(n)
INS(ūdēbant);INS(ū),INS(d),INS(ē),INS(b),INS(a),INS(n),INS(t)
INS(ēt);INS(ē),INS(t)
INS(serātis);INS(s),INS(e),INS(r),INS(ā),INS(t),INS(i),INS(s)
INS(ībām);INS(ī),INS(b),INS(ā),INS(m)
INS(īzām);INS(ī),INS(z),INS(ā),INS(m)
INS(ōnimur);INS(ō),INS(n),INS(i),INS(m),INS(u),INS(r)
INS(ētār);INS(ē),INS(t),INS(ā),INS(r)
INS(erētur);INS(e),INS(r),INS(ē),INS(t),INS(u),INS(r)
INS(ābat);INS(ā),INS(b),INS(a),INS(t)
INS(uissētis);INS(u),INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i),INS(s)
INS(ūrgēm);INS(ū),INS(r),INS(g),INS(ē),INS(m)
INS(ēnō);INS(ē),INS(n),INS(ō)
INS(ōmae);INS(ō),INS(m),INS(a),INS(e)
INS(īdō);INS(ī),INS(d),INS(ō)
DEL(ygo);DEL(y),DEL(g),DEL(o)
DEL(io);DEL(i),DEL(o)
DEL(ono);DEL(o),DEL(no)
DEL(r);DEL(r)
DEL(is);DEL(i),DEL(s)
DEL(eo);DEL(e),DEL(o)
DEL(inus);DEL(in),DEL(us)
DEL(eredo);DEL(e),DEL(r),DEL(e),DEL(d),DEL(o)
DEL(ura);DEL(u),DEL(r),DEL(a)
DEL(lo);DEL(l),DEL(o)
DEL(ro);DEL(r),DEL(o)
DEL(or);DEL(o),DEL(r)
DEL(edo);DEL(e),DEL(d),DEL(o)
DEL(os);DEL(o),DEL(s)
DEL(urato);DEL(u),DEL(r),DEL(a),DEL(t),DEL(o)
DEL(oco);DEL(o),DEL(c),DEL(o)
DEL(ita);DEL(i),DEL(t),DEL(a)
DEL(es);DEL(e),DEL(s)
DEL(itus);DEL(i),DEL(t),DEL(u),DEL(s)
DEL(do);DEL(d),DEL(o)
DEL(rio);DEL(r),DEL(i),DEL(o)
DEL(ativus);DEL(a),DEL(t),DEL(i),DEL(v),DEL(u),DEL(s)
