Original;Split
INS(fidh siad);INS(f),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(n);INS(n)
INS(ear);INS(e),INS(a),INS(r)
INS(ha);INS(h),INS(a)
DEL(bri);DEL(b),DEL(r),DEL(i)
DEL(í);DEL(í)
DEL(c);DEL(c)
DEL(ch);DEL(c),DEL(h)
DEL(ai);DEL(a),DEL(i)
DEL(a);DEL(a)
DEL(aig);DEL(a),DEL(ig)
DEL(dh);DEL(d),DEL(h)
DEL(hig);DEL(h),DEL(ig)
DEL(gi);DEL(g),DEL(i)
DEL(h);DEL(h)
DEL(ú);DEL(ú)
DEL(ig);DEL(i),DEL(g)
DEL(e);DEL(e)
DEL(ea);DEL(e),DEL(a)
DEL(g);DEL(g)
DEL(aigh);DEL(a),DEL(igh)
DEL(io);DEL(i),DEL(o)
DEL(ir);DEL(i),DEL(r)
DEL(m);DEL(m)
DEL(le);DEL(l),DEL(e)
DEL(ia);DEL(i),DEL(a)
DEL(eac);DEL(ea),DEL(c)
DEL(á);DEL(á)
