Original;Split
INS(nę);INS(n),INS(ę)
INS(ū);INS(ū)
INS(ę);INS(ę)
INS(odav);INS(o),INS(d),INS(a),INS(v)
INS(omi);INS(o),INS(m),INS(i)
INS(esniai);INS(e),INS(s),INS(n),INS(i),INS(a),INS(i)
INS(ojè);INS(o),INS(j),INS(è)
INS(jau);INS(j),INS(a),INS(u)
INS(̃s);INS(̃),INS(s)
INS(je);INS(j),INS(e)
INS(av);INS(a),INS(v)
INS(omas);INS(o),INS(m),INS(a),INS(s)
INS(ìmą);INS(ì),INS(m),INS(ą)
INS(ýnui);INS(ý),INS(n),INS(u),INS(i)
INS(oms);INS(o),INS(m),INS(s)
INS(niu);INS(n),INS(i),INS(u)
INS(esnė);INS(e),INS(s),INS(n),INS(ė)
INS(ò);INS(ò)
INS(iausi);INS(i),INS(a),INS(u),INS(s),INS(i)
INS(y);INS(y)
INS(esiai);INS(e),INS(s),INS(i),INS(a),INS(i)
INS(us);INS(u),INS(s)
INS(mas);INS(m),INS(as)
INS(ióm);INS(i),INS(ó),INS(m)
INS(óve);INS(ó),INS(v),INS(e)
INS(ž);INS(ž)
INS(iame);INS(i),INS(a),INS(m),INS(e)
INS(ìko);INS(ì),INS(k),INS(o)
INS(ių̃);INS(i),INS(ų),INS(̃)
INS(ms);INS(m),INS(s)
INS(an);INS(a),INS(n)
INS(ùkome);INS(ù),INS(k),INS(o),INS(m),INS(e)
INS(ýdų);INS(ý),INS(d),INS(ų)
INS(sia);INS(s),INS(i),INS(a)
INS(ùkate);INS(ù),INS(k),INS(a),INS(t),INS(e)
INS(às);INS(à),INS(s)
INS(usiuo);INS(u),INS(s),INS(i),INS(u),INS(o)
INS(ẽvo);INS(ẽ),INS(v),INS(o)
INS(jan);INS(j),INS(a),INS(n)
INS(umėme);INS(u),INS(m),INS(ė),INS(m),INS(e)
INS(ós);INS(ó),INS(s)
INS(ĩč);INS(ĩ),INS(č)
INS(esniem);INS(e),INS(s),INS(n),INS(i),INS(e),INS(m)
INS(mi);INS(m),INS(i)
INS(ose);INS(o),INS(s),INS(e)
INS(uva);INS(u),INS(v),INS(a)
INS(ý);INS(ý)
INS(ìme);INS(ì),INS(m),INS(e)
INS(sè);INS(s),INS(è)
INS(esne);INS(e),INS(s),INS(n),INS(e)
INS(ùkame);INS(ù),INS(k),INS(a),INS(m),INS(e)
INS(iam);INS(i),INS(a),INS(m)
INS(ãre);INS(ã),INS(r),INS(e)
INS(sio);INS(s),INS(i),INS(o)
INS(enims);INS(e),INS(n),INS(i),INS(m),INS(s)
INS(ýtum);INS(ý),INS(t),INS(u),INS(m)
INS(yjè);INS(y),INS(j),INS(è)
INS(žiám);INS(ž),INS(i),INS(á),INS(m)
INS(avė);INS(a),INS(v),INS(ė)
INS(ýs);INS(ý),INS(s)
INS(í);INS(í)
INS(usiu);INS(u),INS(s),INS(i),INS(u)
INS(ètui);INS(è),INS(t),INS(u),INS(i)
INS(ýto);INS(ý),INS(t),INS(o)
INS(š);INS(š)
INS(iá);INS(i),INS(á)
INS(ič);INS(i),INS(č)
INS(žiù);INS(ž),INS(i),INS(ù)
INS(ẽtą);INS(ẽ),INS(t),INS(ą)
INS(ìnoms);INS(ì),INS(n),INS(o),INS(m),INS(s)
INS(om);INS(o),INS(m)
INS(nąs);INS(n),INS(ą),INS(s)
INS(dž);INS(d),INS(ž)
INS(usiem);INS(u),INS(s),INS(i),INS(e),INS(m)
INS(ìm);INS(ì),INS(m)
INS(omis);INS(o),INS(m),INS(i),INS(s)
INS(enate);INS(e),INS(n),INS(a),INS(t),INS(e)
INS(ùša);INS(ù),INS(š),INS(a)
INS(óbdav);INS(ó),INS(b),INS(d),INS(a),INS(v)
INS(ìnuo);INS(ì),INS(n),INS(u),INS(o)
INS(aĩsi);INS(a),INS(ĩ),INS(s),INS(i)
INS(ẽst);INS(ẽ),INS(s),INS(t)
INS(ju);INS(j),INS(u)
INS(ónu);INS(ó),INS(n),INS(u)
INS(žių̃);INS(ž),INS(i),INS(ų),INS(̃)
INS(j);INS(j)
INS(ūrote);INS(ū),INS(r),INS(o),INS(t),INS(e)
INS(ìnį);INS(ì),INS(n),INS(į)
INS(sę);INS(s),INS(ę)
INS(ãke);INS(ã),INS(k),INS(e)
INS(esnėmì);INS(e),INS(s),INS(n),INS(ė),INS(m),INS(ì)
INS(ntu);INS(n),INS(t),INS(u)
INS(sį);INS(s),INS(į)
INS(ėrėt);INS(ė),INS(r),INS(ė),INS(t)
INS(ýlų);INS(ý),INS(l),INS(ų)
INS(ndame);INS(n),INS(d),INS(a),INS(m),INS(e)
INS(õdį);INS(õ),INS(d),INS(į)
INS(ąjį);INS(ą),INS(j),INS(į)
INS(úost);INS(ú),INS(o),INS(s),INS(t)
INS(avia);INS(a),INS(v),INS(i),INS(a)
INS(niame);INS(n),INS(i),INS(a),INS(m),INS(e)
INS(ìka);INS(ì),INS(k),INS(a)
INS(́jo);INS(́),INS(j),INS(o)
INS(enimìs);INS(e),INS(n),INS(i),INS(m),INS(ì),INS(s)
INS(enis);INS(e),INS(n),INS(i),INS(s)
INS(ñko);INS(ñ),INS(k),INS(o)
INS(éil);INS(é),INS(i),INS(l)
INS(ėm);INS(ė),INS(m)
INS(ėte);INS(ė),INS(t),INS(e)
INS(čiausi);INS(č),INS(i),INS(a),INS(u),INS(s),INS(i)
INS(iù);INS(i),INS(ù)
INS(avome);INS(a),INS(v),INS(o),INS(m),INS(e)
INS(òge);INS(ò),INS(g),INS(e)
INS(ñtui);INS(ñ),INS(t),INS(u),INS(i)
INS(õtei);INS(õ),INS(t),INS(e),INS(i)
INS(uje);INS(u),INS(j),INS(e)
INS(avėme);INS(a),INS(v),INS(ė),INS(m),INS(e)
INS(óžiu);INS(ó),INS(ž),INS(i),INS(u)
INS(uvąs);INS(u),INS(v),INS(ą),INS(s)
INS(ýdoje);INS(ý),INS(d),INS(o),INS(j),INS(e)
DEL(ioj);DEL(i),DEL(o),DEL(j)
DEL(n);DEL(n)
DEL(y);DEL(y)
DEL(e);DEL(e)
DEL(nis);DEL(n),DEL(i),DEL(s)
DEL(sti);DEL(s),DEL(ti)
DEL(urti);DEL(u),DEL(r),DEL(t),DEL(i)
DEL(ukt);DEL(uk),DEL(t)
DEL(obt);DEL(o),DEL(b),DEL(t)
DEL(ės);DEL(ė),DEL(s)
DEL(okt);DEL(o),DEL(k),DEL(t)
DEL(mas);DEL(m),DEL(as)
DEL(iūt);DEL(i),DEL(ūt)
DEL(ū);DEL(ū)
DEL(ūt);DEL(ū),DEL(t)
DEL(ikas);DEL(i),DEL(k),DEL(a),DEL(s)
DEL(sis);DEL(s),DEL(i),DEL(s)
DEL(ai);DEL(a),DEL(i)
DEL(ėti);DEL(ė),DEL(ti)
DEL(imas);DEL(i),DEL(mas)
DEL(uti);DEL(u),DEL(ti)
DEL(is);DEL(i),DEL(s)
DEL(oka);DEL(o),DEL(k),DEL(a)
DEL(ys);DEL(y),DEL(s)
DEL(ata);DEL(a),DEL(t),DEL(a)
DEL(umas);DEL(u),DEL(m),DEL(a),DEL(s)
DEL(ėt);DEL(ė),DEL(t)
DEL(ožė);DEL(o),DEL(ž),DEL(ė)
DEL(sa);DEL(s),DEL(a)
DEL(oras);DEL(o),DEL(r),DEL(a),DEL(s)
DEL(inas);DEL(i),DEL(n),DEL(a),DEL(s)
DEL(inė);DEL(i),DEL(n),DEL(ė)
DEL(tu);DEL(t),DEL(u)
DEL(oj);DEL(o),DEL(j)
DEL(ut);DEL(u),DEL(t)
DEL(ynas);DEL(y),DEL(n),DEL(a),DEL(s)
DEL(uo);DEL(u),DEL(o)
DEL(ovė);DEL(o),DEL(v),DEL(ė)
DEL(us);DEL(u),DEL(s)
DEL(ika);DEL(i),DEL(k),DEL(a)
DEL(ukti);DEL(uk),DEL(ti)
DEL(yda);DEL(yd),DEL(a)
DEL(evas);DEL(e),DEL(v),DEL(a),DEL(s)
DEL(oti);DEL(o),DEL(ti)
DEL(tė);DEL(t),DEL(ė)
DEL(aras);DEL(a),DEL(r),DEL(a),DEL(s)
DEL(uoti);DEL(u),DEL(oti)
DEL(gt);DEL(g),DEL(t)
DEL(etas);DEL(e),DEL(t),DEL(a),DEL(s)
DEL(ytas);DEL(y),DEL(t),DEL(a),DEL(s)
DEL(j);DEL(j)
DEL(igt);DEL(i),DEL(g),DEL(t)
DEL(ina);DEL(in),DEL(a)
DEL(it);DEL(i),DEL(t)
DEL(st);DEL(s),DEL(t)
DEL(inti);DEL(i),DEL(n),DEL(t),DEL(i)
DEL(ušti);DEL(u),DEL(š),DEL(t),DEL(i)
DEL(bti);DEL(b),DEL(t),DEL(i)
DEL(sius);DEL(s),DEL(i),DEL(u),DEL(s)
DEL(stas);DEL(s),DEL(t),DEL(a),DEL(s)
DEL(onas);DEL(o),DEL(n),DEL(a),DEL(s)
DEL(kti);DEL(k),DEL(t),DEL(i)
DEL(inis);DEL(i),DEL(n),DEL(i),DEL(s)
DEL(akė);DEL(a),DEL(k),DEL(ė)
DEL(rti);DEL(r),DEL(ti)
DEL(yla);DEL(y),DEL(l),DEL(a)
DEL(odis);DEL(o),DEL(d),DEL(i),DEL(s)
DEL(asis);DEL(a),DEL(s),DEL(i),DEL(s)
DEL(sta);DEL(s),DEL(t),DEL(a)
DEL(yt);DEL(y),DEL(t)
DEL(kas);DEL(k),DEL(as)
DEL(nkas);DEL(n),DEL(k),DEL(a),DEL(s)
DEL(lė);DEL(l),DEL(ė)
DEL(ogas);DEL(o),DEL(g),DEL(a),DEL(s)
DEL(ntas);DEL(n),DEL(t),DEL(a),DEL(s)
DEL(otė);DEL(o),DEL(t),DEL(ė)
DEL(ožy);DEL(o),DEL(ž),DEL(y)
