Original;Split
INS(okat);INS(o),INS(k),INS(a),INS(t)
INS(akban);INS(a),INS(k),INS(b),INS(a),INS(n)
INS(gal);INS(g),INS(a),INS(l)
INS(lró);INS(l),INS(r),INS(ó)
INS(aknál);INS(a),INS(k),INS(n),INS(á),INS(l)
INS(ak);INS(a),INS(k)
INS(ekben);INS(e),INS(k),INS(b),INS(e),INS(n)
INS(okon);INS(o),INS(k),INS(o),INS(n)
INS(oknak);INS(o),INS(k),INS(n),INS(a),INS(k)
INS(ekhez);INS(e),INS(k),INS(h),INS(e),INS(z)
INS(akból);INS(a),INS(k),INS(b),INS(ó),INS(l)
INS(ánál);INS(á),INS(n),INS(á),INS(l)
INS(ákk);INS(á),INS(k),INS(k)
INS(l);INS(l)
INS(singula);INS(s),INS(i),INS(n),INS(g),INS(u),INS(l),INS(a)
INS(okként);INS(o),INS(k),INS(k),INS(é),INS(n),INS(t)
INS(ektől);INS(e),INS(k),INS(t),INS(ő),INS(l)
INS(ze);INS(z),INS(e)
INS(nék);INS(n),INS(é),INS(k)
INS(ák);INS(á),INS(k)
INS(-ek);INS(-),INS(e),INS(k)
INS(tokér);INS(t),INS(o),INS(k),INS(é),INS(r)
INS(ákból);INS(á),INS(k),INS(b),INS(ó),INS(l)
INS(tatok);INS(t),INS(a),INS(t),INS(o),INS(k)
INS(áról);INS(á),INS(r),INS(ó),INS(l)
INS(öket);INS(ö),INS(k),INS(e),INS(t)
INS(et);INS(e),INS(t)
INS(okról);INS(o),INS(k),INS(r),INS(ó),INS(l)
INS(setek);INS(s),INS(e),INS(t),INS(e),INS(k)
INS(at);INS(a),INS(t)
INS(októl);INS(o),INS(k),INS(t),INS(ó),INS(l)
INS(ákon);INS(á),INS(k),INS(o),INS(n)
INS(aknak);INS(a),INS(k),INS(n),INS(a),INS(k)
INS(noko);INS(n),INS(o),INS(k),INS(o)
INS(tér);INS(t),INS(é),INS(r)
INS(ss);INS(s),INS(s)
INS(kként);INS(k),INS(k),INS(é),INS(n),INS(t)
INS(lrő);INS(l),INS(r),INS(ő)
INS(bá);INS(b),INS(á)
INS(eniük);INS(e),INS(n),INS(i),INS(ü),INS(k)
INS(knál);INS(k),INS(n),INS(á),INS(l)
INS(kat);INS(k),INS(a),INS(t)
INS(eknek);INS(e),INS(k),INS(n),INS(e),INS(k)
INS(oknál);INS(o),INS(k),INS(n),INS(á),INS(l)
INS(től);INS(t),INS(ől)
INS(kon);INS(k),INS(o),INS(n)
INS(akért);INS(a),INS(k),INS(é),INS(r),INS(t)
INS(öknél);INS(ö),INS(k),INS(n),INS(é),INS(l)
INS(ákn);INS(á),INS(k),INS(n)
INS(ba);INS(b),INS(a)
INS(ó);INS(ó)
INS(ekig);INS(e),INS(k),INS(i),INS(g)
INS(kjü);INS(k),INS(j),INS(ü)
INS(áb);INS(á),INS(b)
INS(akká);INS(a),INS(k),INS(k),INS(á)
INS(tek);INS(t),INS(e),INS(k)
INS(andó);INS(a),INS(n),INS(d),INS(ó)
INS(ett);INS(e),INS(t),INS(t)
INS(játok);INS(j),INS(á),INS(t),INS(o),INS(k)
INS(áv);INS(á),INS(v)
INS(ottak);INS(o),INS(t),INS(t),INS(a),INS(k)
INS(otok);INS(o),INS(t),INS(o),INS(k)
INS(ről);INS(r),INS(ő),INS(l)
INS(d);INS(d)
INS(va);INS(v),INS(a)
INS(ökről);INS(ö),INS(k),INS(r),INS(ő),INS(l)
INS(nek);INS(n),INS(e),INS(k)
INS(ot);INS(o),INS(t)
INS(sel);INS(s),INS(e),INS(l)
INS(étől);INS(é),INS(t),INS(ő),INS(l)
INS(anának);INS(a),INS(n),INS(á),INS(n),INS(a),INS(k)
INS(ár);INS(á),INS(r)
INS(tal);INS(t),INS(a),INS(l)
INS(nál);INS(ná),INS(l)
INS(al);INS(a),INS(l)
INS(éért);INS(é),INS(é),INS(r),INS(t)
INS(re);INS(r),INS(e)
INS(öttél);INS(ö),INS(t),INS(t),INS(é),INS(l)
INS(i);INS(i)
INS(nom);INS(n),INS(o),INS(m)
INS(ottátok);INS(o),INS(t),INS(t),INS(á),INS(t),INS(o),INS(k)
INS(-ot);INS(-),INS(o),INS(t)
INS(s);INS(s)
INS(tam);INS(t),INS(a),INS(m)
INS(etek);INS(e),INS(t),INS(e),INS(k)
INS(öt);INS(ö),INS(t)
INS(ákig);INS(á),INS(k),INS(i),INS(g)
INS(akig);INS(a),INS(k),INS(i),INS(g)
INS(ekkel);INS(e),INS(k),INS(k),INS(e),INS(l)
INS(jek);INS(j),INS(e),INS(k)
INS(ékből);INS(é),INS(k),INS(b),INS(ő),INS(l)
INS(án);INS(á),INS(n)
INS(ákr);INS(á),INS(k),INS(r)
INS(kről);INS(k),INS(r),INS(ő),INS(l)
INS(áig);INS(á),INS(i),INS(g)
INS(nia);INS(n),INS(i),INS(a)
INS(okért);INS(o),INS(k),INS(é),INS(r),INS(t)
INS(netek);INS(n),INS(e),INS(t),INS(e),INS(k)
INS(udná);INS(u),INS(d),INS(n),INS(á)
INS(ökért);INS(ö),INS(k),INS(é),INS(r),INS(t)
INS(ná);INS(n),INS(á)
INS(ették);INS(e),INS(t),INS(t),INS(é),INS(k)
INS(ákhoz);INS(á),INS(k),INS(h),INS(o),INS(z)
INS(éből);INS(é),INS(b),INS(ő),INS(l)
INS(ed);INS(e),INS(d)
INS(sen);INS(s),INS(e),INS(n)
INS(öd);INS(ö),INS(d)
INS(hez);INS(h),INS(e),INS(z)
INS(ékig);INS(é),INS(k),INS(i),INS(g)
INS(dano);INS(d),INS(a),INS(n),INS(o)
INS(sal);INS(s),INS(a),INS(l)
INS(ttek);INS(t),INS(t),INS(e),INS(k)
INS(táér);INS(t),INS(á),INS(é),INS(r)
INS(mé);INS(m),INS(é)
INS(nánk);INS(n),INS(á),INS(n),INS(k)
INS(kig);INS(k),INS(i),INS(g)
INS(okra);INS(o),INS(k),INS(r),INS(a)
INS(kból);INS(k),INS(b),INS(ó),INS(l)
INS(éktől);INS(é),INS(k),INS(t),INS(ő),INS(l)
INS(khöz);INS(k),INS(h),INS(ö),INS(z)
INS(át);INS(á),INS(t)
INS(ákként);INS(á),INS(k),INS(k),INS(é),INS(n),INS(t)
INS(ökig);INS(ö),INS(k),INS(i),INS(g)
INS(jon);INS(j),INS(o),INS(n)
INS(gái);INS(g),INS(á),INS(i)
INS(onok);INS(o),INS(n),INS(o),INS(k)
INS(avakba);INS(a),INS(v),INS(a),INS(k),INS(b),INS(a)
INS(tok);INS(t),INS(o),INS(k)
INS(ingular);INS(i),INS(n),INS(g),INS(u),INS(l),INS(a),INS(r)
INS(kkel);INS(k),INS(k),INS(e),INS(l)
INS(tátok);INS(t),INS(á),INS(t),INS(o),INS(k)
INS(ától);INS(á),INS(t),INS(ó),INS(l)
INS(tot);INS(t),INS(o),INS(t)
INS(évé);INS(é),INS(v),INS(é)
INS(né);INS(n),INS(é)
INS(ekre);INS(e),INS(k),INS(r),INS(e)
INS(ék);INS(é),INS(k)
INS(éra);INS(é),INS(r),INS(a)
INS(-ről);INS(-),INS(r),INS(ő),INS(l)
INS(ából);INS(á),INS(b),INS(ó),INS(l)
INS(kké);INS(k),INS(k),INS(é)
INS(jak);INS(j),INS(a),INS(k)
INS(ékn);INS(é),INS(k),INS(n)
INS(éknak);INS(é),INS(k),INS(n),INS(a),INS(k)
INS(ekké);INS(e),INS(k),INS(k),INS(é)
INS(hekbe);INS(h),INS(e),INS(k),INS(b),INS(e)
INS(anokb);INS(a),INS(n),INS(o),INS(k),INS(b)
INS(zho);INS(z),INS(h),INS(o)
INS(jük);INS(j),INS(ü),INS(k)
INS(eket);INS(e),INS(k),INS(e),INS(t)
INS(ték);INS(t),INS(é),INS(k)
INS(sá);INS(s),INS(á)
INS(akként);INS(a),INS(k),INS(k),INS(é),INS(n),INS(t)
INS(vá);INS(v),INS(á)
INS(ét);INS(é),INS(t)
INS(höz);INS(h),INS(ö),INS(z)
INS(akat);INS(a),INS(k),INS(a),INS(t)
INS(lné);INS(l),INS(n),INS(é)
INS(zatok);INS(z),INS(a),INS(t),INS(o),INS(k)
INS(akon);INS(a),INS(k),INS(o),INS(n)
INS(knél);INS(k),INS(n),INS(é),INS(l)
INS(tákkén);INS(t),INS(á),INS(k),INS(k),INS(é),INS(n)
INS(gá);INS(g),INS(á)
INS(lekrő);INS(l),INS(e),INS(k),INS(r),INS(ő)
INS(na);INS(n),INS(a)
INS(kká);INS(k),INS(k),INS(á)
INS(u);INS(u)
INS(j);INS(j)
INS(lokka);INS(l),INS(o),INS(k),INS(k),INS(a)
INS(ökké);INS(ö),INS(k),INS(k),INS(é)
INS(ken);INS(k),INS(e),INS(n)
INS(om);INS(o),INS(m)
INS(áért);INS(á),INS(é),INS(r),INS(t)
INS(elekk);INS(e),INS(l),INS(e),INS(k),INS(k)
INS(öktől);INS(ö),INS(k),INS(t),INS(ő),INS(l)
INS(anotok);INS(a),INS(n),INS(o),INS(t),INS(o),INS(k)
INS(ják);INS(j),INS(á),INS(k)
INS(anánk);INS(a),INS(n),INS(á),INS(n),INS(k)
INS(nokba);INS(n),INS(o),INS(k),INS(b),INS(a)
INS(sem);INS(s),INS(e),INS(m)
INS(éh);INS(é),INS(h)
INS(z);INS(z)
INS(elekrő);INS(e),INS(l),INS(e),INS(k),INS(r),INS(ő)
INS(ták);INS(t),INS(á),INS(k)
INS(ünk);INS(ü),INS(n),INS(k)
INS(tem);INS(t),INS(e),INS(m)
INS(kba);INS(k),INS(b),INS(a)
INS(akról);INS(a),INS(k),INS(r),INS(ó),INS(l)
INS(akkal);INS(a),INS(k),INS(k),INS(a),INS(l)
INS(ökre);INS(ö),INS(k),INS(r),INS(e)
INS(é);INS(é)
INS(niük);INS(n),INS(i),INS(ü),INS(k)
INS(ell);INS(e),INS(l),INS(l)
INS(akba);INS(a),INS(k),INS(b),INS(a)
INS(ettünk);INS(e),INS(t),INS(t),INS(ü),INS(n),INS(k)
INS(éknél);INS(é),INS(k),INS(n),INS(é),INS(l)
INS(ő);INS(ő)
INS(notok);INS(n),INS(o),INS(t),INS(o),INS(k)
INS(kön);INS(k),INS(ö),INS(n)
INS(ottuk);INS(o),INS(t),INS(t),INS(u),INS(k)
INS(zetek);INS(z),INS(e),INS(t),INS(e),INS(k)
INS(jatok);INS(j),INS(a),INS(t),INS(o),INS(k)
INS(zunk);INS(z),INS(u),INS(n),INS(k)
INS(ökhöz);INS(ö),INS(k),INS(h),INS(ö),INS(z)
INS(ne);INS(n),INS(e)
INS(o);INS(o)
INS(zanak);INS(z),INS(a),INS(n),INS(a),INS(k)
INS(ssé);INS(s),INS(s),INS(é)
INS(tétek);INS(t),INS(é),INS(t),INS(e),INS(k)
INS(-okba);INS(-),INS(o),INS(k),INS(b),INS(a)
INS(el);INS(e),INS(l)
INS(jam);INS(j),INS(a),INS(m)
INS(ném);INS(n),INS(é),INS(m)
INS(kban);INS(k),INS(b),INS(a),INS(n)
INS(c);INS(c)
INS(cel);INS(c),INS(e),INS(l)
INS(jem);INS(j),INS(e),INS(m)
INS(ekként);INS(e),INS(k),INS(k),INS(é),INS(n),INS(t)
INS(sse);INS(s),INS(s),INS(e)
INS(én);INS(é),INS(n)
INS(láró);INS(l),INS(á),INS(r),INS(ó)
INS(nod);INS(n),INS(o),INS(d)
INS(ált);INS(á),INS(l),INS(t)
INS(anád);INS(a),INS(n),INS(á),INS(d)
INS(lná);INS(l),INS(n),INS(á)
INS(tá);INS(t),INS(á)
INS(té);INS(t),INS(é)
INS(itek);INS(i),INS(t),INS(e),INS(k)
INS(anák);INS(a),INS(n),INS(á),INS(k)
DEL(o);DEL(o)
DEL(ik);DEL(i),DEL(k)
DEL(é);DEL(é)
DEL(ő);DEL(ő)
DEL(ű);DEL(ű)
DEL(bejá);DEL(b),DEL(e),DEL(j),DEL(á)
DEL(at);DEL(a),DEL(t)
DEL(t);DEL(t)
DEL(szik);DEL(s),DEL(z),DEL(i),DEL(k)
DEL(ö);DEL(ö)
DEL(sz);DEL(s),DEL(z)
DEL(ó);DEL(ó)
DEL(how);DEL(h),DEL(o),DEL(w)
DEL(eh);DEL(e),DEL(h)
DEL(k);DEL(k)
DEL(i);DEL(i)
DEL(ú);DEL(ú)
DEL(óna);DEL(ó),DEL(n),DEL(a)
