Original;Split
INS(ující);INS(u),INS(j),INS(í),INS(c),INS(í)
INS(o);INS(o)
INS(budou );INS(b),INS(u),INS(d),INS(o),INS(u),INS( )
INS(ání);INS(á),INS(n),INS(í)
INS(ly by);INS(l),INS(y),INS( ),INS(b),INS(y)
INS(la by);INS(l),INS(a),INS( ),INS(b),INS(y)
INS(v);INS(v)
INS(lo js);INS(l),INS(o),INS( ),INS(j),INS(s)
INS(ujíc);INS(u),INS(j),INS(í),INS(c)
INS(ala bych);INS(a),INS(l),INS(a),INS( ),INS(b),INS(y),INS(c),INS(h)
INS(ly bychom);INS(l),INS(y),INS( ),INS(b),INS(y),INS(c),INS(h),INS(o),INS(m)
INS(li bys);INS(l),INS(i),INS( ),INS(b),INS(y),INS(s)
INS(li js);INS(l),INS(i),INS( ),INS(j),INS(s)
INS(aly);INS(a),INS(l),INS(y)
INS(ůvěř);INS(ů),INS(v),INS(ě),INS(ř)
INS(ali);INS(a),INS(l),INS(i)
INS(budete );INS(b),INS(u),INS(d),INS(e),INS(t),INS(e),INS( )
INS(byl bych );INS(b),INS(y),INS(l),INS( ),INS(b),INS(y),INS(c),INS(h),INS( )
INS(yjí);INS(y),INS(j),INS(í)
INS(byli byste );INS(b),INS(y),INS(l),INS(i),INS( ),INS(b),INS(y),INS(s),INS(t),INS(e),INS( )
INS(rientovala by);INS(r),INS(i),INS(e),INS(n),INS(t),INS(o),INS(v),INS(a),INS(l),INS(a),INS( ),INS(b),INS(y)
INS(ři);INS(ř),INS(i)
INS(byli by );INS(b),INS(y),INS(l),INS(i),INS( ),INS(b),INS(y),INS( )
INS(ly js);INS(l),INS(y),INS( ),INS(j),INS(s)
INS(byla bychom );INS(b),INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS(c),INS(h),INS(o),INS(m),INS( )
INS(ě);INS(ě)
INS(vši);INS(v),INS(š),INS(i)
INS(ujme);INS(u),INS(j),INS(m),INS(e)
INS(la bych);INS(l),INS(a),INS( ),INS(b),INS(y),INS(c),INS(h)
INS(s);INS(s)
INS(byla byste );INS(b),INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS(s),INS(t),INS(e),INS( )
INS(l jsem);INS(l),INS( ),INS(j),INS(s),INS(e),INS(m)
INS(ujeme);INS(u),INS(j),INS(e),INS(m),INS(e)
INS(l bys);INS(l),INS( ),INS(b),INS(y),INS(s)
INS(byl bys );INS(b),INS(y),INS(l),INS( ),INS(b),INS(y),INS(s),INS( )
INS(lo jsi);INS(l),INS(o),INS( ),INS(j),INS(s),INS(i)
INS(byl by );INS(b),INS(y),INS(l),INS( ),INS(b),INS(y),INS( )
INS(ujíce);INS(u),INS(j),INS(í),INS(c),INS(e)
INS(ouc);INS(o),INS(u),INS(c)
INS(tům);INS(t),INS(ů),INS(m)
INS(ajíc);INS(a),INS(j),INS(í),INS(c)
INS(edly);INS(e),INS(d),INS(l),INS(y)
INS(emi);INS(e),INS(m),INS(i)
INS(al js);INS(a),INS(l),INS( ),INS(j),INS(s)
INS(ští);INS(š),INS(t),INS(í)
INS(byly byste );INS(b),INS(y),INS(l),INS(y),INS( ),INS(b),INS(y),INS(s),INS(t),INS(e),INS( )
INS(ti);INS(t),INS(i)
INS(l jsi);INS(l),INS( ),INS(j),INS(s),INS(i)
INS(la jsem);INS(l),INS(a),INS( ),INS(j),INS(s),INS(e),INS(m)
INS(něm);INS(n),INS(ě),INS(m)
INS(bylo byste );INS(b),INS(y),INS(l),INS(o),INS( ),INS(b),INS(y),INS(s),INS(t),INS(e),INS( )
INS(byla bys );INS(b),INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS(s),INS( )
INS(la bychom);INS(l),INS(a),INS( ),INS(b),INS(y),INS(c),INS(h),INS(o),INS(m)
INS(doucí);INS(d),INS(o),INS(u),INS(c),INS(í)
INS(alo jsem);INS(a),INS(l),INS(o),INS( ),INS(j),INS(s),INS(e),INS(m)
INS(cí);INS(c),INS(í)
INS(ovaly);INS(o),INS(v),INS(a),INS(l),INS(y)
INS(uješ);INS(u),INS(j),INS(e),INS(š)
INS(edly by);INS(e),INS(d),INS(l),INS(y),INS( ),INS(b),INS(y)
INS(je);INS(j),INS(e)
INS(ni);INS(n),INS(i)
INS(ic);INS(i),INS(c)
INS(li bychom);INS(l),INS(i),INS( ),INS(b),INS(y),INS(c),INS(h),INS(o),INS(m)
INS(jí);INS(j),INS(í)
INS(ních);INS(n),INS(í),INS(c),INS(h)
INS(áš);INS(á),INS(š)
INS(budeme );INS(b),INS(u),INS(d),INS(e),INS(m),INS(e),INS( )
INS(yla bys);INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS(s)
INS(áno);INS(á),INS(n),INS(o)
INS(ň);INS(ň)
INS(ří);INS(ř),INS(í)
INS(la jsme);INS(l),INS(a),INS( ),INS(j),INS(s),INS(m),INS(e)
INS(la);INS(l),INS(a)
INS(eďm);INS(e),INS(ď),INS(m)
INS(tí);INS(t),INS(í)
DEL(ova);DEL(ov),DEL(a)
DEL(á);DEL(á)
DEL(et);DEL(e),DEL(t)
DEL(at);DEL(a),DEL(t)
DEL(ka);DEL(k),DEL(a)
DEL(o);DEL(o)
DEL(ra);DEL(r),DEL(a)
DEL(ta);DEL(t),DEL(a)
DEL(ek);DEL(e),DEL(k)
DEL(u);DEL(u)
DEL(cký);DEL(c),DEL(ký)
DEL(át);DEL(á),DEL(t)
DEL(ikt);DEL(i),DEL(kt)
DEL(ýt);DEL(ý),DEL(t)
DEL(p);DEL(p)
DEL(odovat);DEL(o),DEL(d),DEL(o),DEL(v),DEL(a),DEL(t)
DEL(r);DEL(r)
DEL(přechytrač);DEL(p),DEL(ř),DEL(e),DEL(c),DEL(h),DEL(y),DEL(t),DEL(r),DEL(a),DEL(č)
DEL(s);DEL(s)
DEL(ě);DEL(ě)
DEL(i);DEL(i)
DEL(tova);DEL(t),DEL(ova)
DEL(ís);DEL(í),DEL(s)
DEL(íst);DEL(ís),DEL(t)
DEL(ský);DEL(s),DEL(ký)
DEL(atov);DEL(a),DEL(t),DEL(o),DEL(v)
DEL(ť);DEL(ť)
DEL(ň);DEL(ň)
DEL(ký);DEL(k),DEL(ý)
DEL(it);DEL(i),DEL(t)
DEL(aň);DEL(a),DEL(ň)
DEL(k);DEL(k)
DEL(eň);DEL(e),DEL(ň)
DEL(ně);DEL(n),DEL(ě)
DEL(rý);DEL(r),DEL(ý)
DEL(l);DEL(l)
DEL(m);DEL(m)
