Original;Split
DEL(íkja);DEL(í),DEL(k),DEL(j),DEL(a)
DEL(aba);DEL(a),DEL(b),DEL(a)
DEL(aðu);DEL(a),DEL(ðu)
DEL(efj);DEL(e),DEL(f),DEL(j)
DEL(ata);DEL(a),DEL(t),DEL(a)
DEL(ari);DEL(a),DEL(r),DEL(i)
DEL(jö);DEL(j),DEL(ö)
DEL(eða);DEL(e),DEL(ð),DEL(a)
DEL(ndi);DEL(n),DEL(di)
DEL(ífa);DEL(í),DEL(f),DEL(a)
DEL(aða);DEL(a),DEL(ða)
DEL(n);DEL(n)
DEL(E);DEL(E)
DEL(öðu);DEL(ö),DEL(ð),DEL(u)
DEL(jósa);DEL(j),DEL(ó),DEL(s),DEL(a)
