Original;Split
INS(ena);INS(e),INS(n),INS(a)
INS(olevat );INS(o),INS(l),INS(e),INS(v),INS(a),INS(t),INS( )
INS(vat);INS(v),INS(a),INS(t)
INS(tev);INS(t),INS(e),INS(v)
INS(ina);INS(i),INS(n),INS(a)
INS(ule);INS(u),INS(l),INS(e)
INS(itele);INS(i),INS(t),INS(e),INS(l),INS(e)
INS(oli );INS(o),INS(l),INS(i),INS( )
INS(eksit);INS(e),INS(k),INS(s),INS(i),INS(t)
INS(esse);INS(e),INS(s),INS(s),INS(e)
INS(uid);INS(u),INS(i),INS(d)
INS(ret);INS(r),INS(e),INS(t)
INS(ega);INS(e),INS(g),INS(a)
INS(dega);INS(d),INS(e),INS(g),INS(a)
INS(etess);INS(e),INS(t),INS(e),INS(s),INS(s)
INS(kse);INS(k),INS(s),INS(e)
INS(si);INS(s),INS(i)
INS(teni);INS(t),INS(e),INS(n),INS(i)
INS(ale);INS(a),INS(l),INS(e)
INS(uteks);INS(u),INS(t),INS(e),INS(k),INS(s)
INS(j);INS(j)
INS(oeksid);INS(o),INS(e),INS(k),INS(s),INS(i),INS(d)
INS(eid);INS(e),INS(i),INS(d)
INS(ava);INS(a),INS(v),INS(a)
INS(tav);INS(t),INS(a),INS(v)
INS(dena);INS(d),INS(e),INS(n),INS(a)
INS(ärge );INS(ä),INS(r),INS(g),INS(e),INS( )
INS(oleme );INS(o),INS(l),INS(e),INS(m),INS(e),INS( )
INS(inud);INS(i),INS(n),INS(u),INS(d)
INS(utesse);INS(u),INS(t),INS(e),INS(s),INS(s),INS(e)
INS(aid);INS(a),INS(i),INS(d)
INS(sed);INS(s),INS(e),INS(d)
INS(ite);INS(i),INS(te)
INS(le);INS(l),INS(e)
INS(dal);INS(d),INS(a),INS(l)
INS(dnu);INS(d),INS(n),INS(u)
INS(metelt);INS(m),INS(e),INS(t),INS(e),INS(l),INS(t)
INS(it);INS(i),INS(t)
INS(deltöil);INS(d),INS(e),INS(l),INS(t),INS(ö),INS(i),INS(l)
INS(itega);INS(i),INS(t),INS(e),INS(g),INS(a)
INS(pnud);INS(p),INS(n),INS(u),INS(d)
INS(eta);INS(e),INS(t),INS(a)
INS(atesse);INS(a),INS(t),INS(e),INS(s),INS(s),INS(e)
INS(edass);INS(e),INS(d),INS(a),INS(s),INS(s)
INS(adeg);INS(a),INS(d),INS(e),INS(g)
INS(natu);INS(n),INS(a),INS(t),INS(u)
INS(al);INS(a),INS(l)
INS(lit);INS(l),INS(i),INS(t)
INS(tesse);INS(t),INS(e),INS(s),INS(s),INS(e)
INS(eni);INS(e),INS(n),INS(i)
INS(gitav);INS(g),INS(i),INS(t),INS(a),INS(v)
INS(haks);INS(h),INS(a),INS(k),INS(s)
INS(a);INS(a)
INS(elt);INS(e),INS(l),INS(t)
INS(dite);INS(d),INS(i),INS(t),INS(e)
INS(itena);INS(i),INS(t),INS(e),INS(n),INS(a)
INS(asse);INS(a),INS(s),INS(s),INS(e)
INS(takse);INS(t),INS(a),INS(k),INS(s),INS(e)
INS(oleksid );INS(o),INS(l),INS(e),INS(k),INS(s),INS(i),INS(d),INS( )
INS(deta);INS(d),INS(e),INS(t),INS(a)
INS(ateks);INS(a),INS(t),INS(e),INS(k),INS(s)
INS(ksin);INS(k),INS(s),INS(i),INS(n)
INS(sse);INS(s),INS(s),INS(e)
INS(tes);INS(t),INS(e),INS(s)
INS(ist);INS(i),INS(s),INS(t)
INS(ele);INS(e),INS(l),INS(e)
INS(ni);INS(n),INS(i)
INS(õid);INS(õ),INS(i),INS(d)
INS(ritess);INS(r),INS(i),INS(t),INS(e),INS(s),INS(s)
INS(eti);INS(e),INS(t),INS(i)
INS(testaapeist);INS(t),INS(e),INS(s),INS(t),INS(a),INS(a),INS(p),INS(e),INS(i),INS(s),INS(t)
INS(ites);INS(i),INS(t),INS(e),INS(s)
INS(atena);INS(a),INS(t),INS(e),INS(n),INS(a)
INS(eome);INS(e),INS(o),INS(m),INS(e)
INS(neksi);INS(n),INS(e),INS(k),INS(s),INS(i)
INS(ti);INS(t),INS(i)
INS(ug);INS(u),INS(g)
INS(tek);INS(t),INS(e),INS(k)
INS(datena);INS(d),INS(a),INS(t),INS(e),INS(n),INS(a)
INS(uta);INS(u),INS(t),INS(a)
INS(deksvöiks);INS(d),INS(e),INS(k),INS(s),INS(v),INS(ö),INS(i),INS(k),INS(s)
INS(uks);INS(u),INS(k),INS(s)
INS(gi);INS(g),INS(i)
INS(ksite);INS(k),INS(s),INS(i),INS(t),INS(e)
INS(kätes);INS(k),INS(ä),INS(t),INS(e),INS(s)
INS(ana);INS(a),INS(n),INS(a)
INS(isse);INS(i),INS(s),INS(s),INS(e)
INS(dril);INS(d),INS(r),INS(i),INS(l)
INS(oli);INS(o),INS(l),INS(i)
INS( teinud);INS( ),INS(t),INS(e),INS(i),INS(n),INS(u),INS(d)
INS(ateg);INS(a),INS(t),INS(e),INS(g)
INS(etu);INS(e),INS(t),INS(u)
INS(utes);INS(u),INS(t),INS(e),INS(s)
INS(lähe);INS(l),INS(ä),INS(h),INS(e)
INS(aks);INS(a),INS(k),INS(s)
INS(ril);INS(r),INS(i),INS(l)
INS(tavat);INS(t),INS(a),INS(v),INS(a),INS(t)
INS(eks);INS(e),INS(k),INS(s)
INS(at);INS(a),INS(t)
INS(rega);INS(r),INS(e),INS(g),INS(a)
INS(gitudp);INS(g),INS(i),INS(t),INS(u),INS(d),INS(p)
INS(li);INS(l),INS(i)
INS(utest);INS(u),INS(t),INS(e),INS(s),INS(t)
INS(dudp);INS(d),INS(u),INS(d),INS(p)
INS(iteta);INS(i),INS(t),INS(e),INS(t),INS(a)
INS(itel);INS(i),INS(t),INS(e),INS(l)
INS(ile);INS(i),INS(l),INS(e)
INS(iga);INS(i),INS(g),INS(a)
INS(atet);INS(a),INS(t),INS(e),INS(t)
INS(g);INS(g)
INS(ad);INS(a),INS(d)
INS(riss);INS(r),INS(i),INS(s),INS(s)
INS(destavust);INS(d),INS(e),INS(s),INS(t),INS(a),INS(v),INS(u),INS(s),INS(t)
INS(eg);INS(e),INS(g)
INS(tena);INS(t),INS(e),INS(n),INS(a)
INS(gib);INS(g),INS(i),INS(b)
INS(alt);INS(a),INS(l),INS(t)
INS(ateni);INS(a),INS(t),INS(e),INS(n),INS(i)
INS(meks);INS(m),INS(e),INS(k),INS(s)
INS(aga);INS(a),INS(g),INS(a)
INS(o);INS(o)
INS(ata);INS(a),INS(t),INS(a)
INS(test);INS(t),INS(e),INS(s),INS(t)
INS(est);INS(e),INS(s),INS(t)
INS(edega);INS(e),INS(d),INS(e),INS(g),INS(a)
INS(ete);INS(e),INS(t),INS(e)
INS(uet);INS(u),INS(e),INS(t)
INS(eden);INS(e),INS(d),INS(e),INS(n)
INS(tre);INS(t),INS(r),INS(e)
INS(ksime);INS(k),INS(s),INS(i),INS(m),INS(e)
INS(netu);INS(n),INS(e),INS(t),INS(u)
INS(sel);INS(s),INS(e),INS(l)
INS(gita);INS(g),INS(i),INS(t),INS(a)
INS(nra);INS(n),INS(r),INS(a)
INS(emet);INS(e),INS(m),INS(e),INS(t)
INS(ast);INS(a),INS(s),INS(t)
INS(et);INS(e),INS(t)
INS(itesse);INS(i),INS(t),INS(e),INS(s),INS(s),INS(e)
INS(k);INS(k)
INS(es);INS(e),INS(s)
INS(olgu lä);INS(o),INS(l),INS(g),INS(u),INS( ),INS(l),INS(ä)
INS(tega);INS(t),INS(e),INS(g),INS(a)
INS(udn);INS(u),INS(d),INS(n)
INS(vetele);INS(v),INS(e),INS(t),INS(e),INS(l),INS(e)
INS(edelt);INS(e),INS(d),INS(e),INS(l),INS(t)
INS(da);INS(d),INS(a)
INS(selt);INS(s),INS(e),INS(l),INS(t)
INS(etudp);INS(e),INS(t),INS(u),INS(d),INS(p)
INS(usse);INS(u),INS(s),INS(s),INS(e)
INS(atel);INS(a),INS(t),INS(e),INS(l)
INS(edeta);INS(e),INS(d),INS(e),INS(t),INS(a)
INS(esit);INS(e),INS(s),INS(i),INS(t)
DEL(d);DEL(d)
DEL(g);DEL(g)
DEL(p);DEL(p)
DEL(i);DEL(i)
DEL(ima);DEL(i),DEL(ma)
DEL(lema);DEL(l),DEL(ema)
DEL(kam);DEL(k),DEL(am)
DEL(ama);DEL(a),DEL(ma)
DEL(si);DEL(s),DEL(i)
DEL(ema);DEL(e),DEL(ma)
DEL(dm);DEL(d),DEL(m)
DEL(k);DEL(k)
DEL(ne);DEL(n),DEL(e)
DEL(ugema);DEL(u),DEL(g),DEL(e),DEL(m),DEL(a)
DEL(gema);DEL(g),DEL(ema)
DEL(tam);DEL(t),DEL(am)
DEL(kim);DEL(k),DEL(i),DEL(m)
DEL(dam);DEL(d),DEL(a),DEL(m)
DEL(u);DEL(u)
DEL(ooma);DEL(oo),DEL(ma)
DEL(r);DEL(r)
DEL(tm);DEL(t),DEL(m)
DEL(iduma);DEL(i),DEL(d),DEL(u),DEL(m),DEL(a)
DEL(gam);DEL(g),DEL(am)
DEL(em);DEL(e),DEL(m)
DEL(mi);DEL(m),DEL(i)
DEL(pam);DEL(p),DEL(am)
DEL(kima);DEL(k),DEL(ima)
DEL(ke);DEL(k),DEL(e)
DEL(adm);DEL(a),DEL(dm)
DEL(ub);DEL(u),DEL(b)
DEL(ba);DEL(b),DEL(a)
DEL(pe);DEL(p),DEL(e)
