String;Operation type;Occurrences
exer;INS;1
mus;INS;3
untur;INS;1
tāvera;INS;2
itur;INS;1
īnae;INS;1
rātu;INS;1
dī;INS;1
ant;INS;3
ōrīcāverāmus;INS;1
īvī;INS;1
ūdam;INS;1
āverītis;INS;1
ānārēmus;INS;1
isset;INS;1
tā;INS;2
āmur;INS;4
ābar;INS;2
īdam;INS;1
ssē;INS;1
is;INS;2
nta;INS;1
ārum;INS;3
te;INS;2
ēnū;INS;1
īr;INS;1
ītāverās;INS;1
ētō;INS;1
īdin;INS;1
sserin;INS;1
ūdinī;INS;2
āris;INS;1
erēris;INS;1
ēnī;INS;1
ābō;INS;2
isāverīt;INS;1
nt;INS;1
ībam;INS;1
īnās;INS;1
āvistī;INS;2
ējēc;INS;1
ris;INS;1
erīs;INS;1
ōrāte;INS;1
ūrātō;INS;1
āvātī;INS;1
ērex;INS;1
īmus;INS;1
erentur;INS;2
rexe;INS;1
uissēmus;INS;1
erār;INS;1
īgātī;INS;1
ōnere;INS;1
ēnūber;INS;1
suisset;INS;1
dē;INS;1
erēmur;INS;2
resse;INS;1
āte;INS;3
āle;INS;2
īderētur;INS;1
erītis;INS;1
ōjēcerim;INS;1
īmō;INS;1
āvissent;INS;4
erer;INS;1
īdī;INS;1
ōrant;INS;1
ēlīv;INS;1
rit;INS;1
t;INS;3
ōpīnāveram;INS;1
ōsā;INS;2
antur;INS;2
sset;INS;2
tāban;INS;1
īrāvī;INS;1
tāvissen;INS;1
īver;INS;1
istī;INS;1
ārēminī;INS;2
ōtū;INS;1
ībātur;INS;1
ēmur;INS;2
ēnōdārēmus;INS;1
ōnēum;INS;1
ātā;INS;1
ōrābātu;INS;1
ābāminī;INS;5
ītae;INS;1
ābātur;INS;1
ēnāvissēs;INS;1
erāmus;INS;1
ēlū;INS;1
ntāvera;INS;1
ex;INS;1
āverint;INS;1
īt;INS;1
ēlī;INS;1
issētis;INS;1
ētrāl;INS;1
ēiās;INS;1
īverāmus;INS;2
īnōrum;INS;1
uerant;INS;1
ōlārum;INS;1
āverātis;INS;1
ēdinēs;INS;1
ātūrā;INS;1
īnē;INS;1
āvistis;INS;1
ūnās;INS;1
ētāl;INS;1
tan;INS;1
ram;INS;1
ālīgā;INS;1
ōrārēmus;INS;1
īsiōn;INS;1
iterāmus;INS;1
ābam;INS;1
ȳ;INS;1
ōrī;INS;1
ēgātō;INS;1
ārī;INS;1
eret;INS;2
ēpērunt;INS;1
rābantu;INS;1
ntō;INS;1
īcārēm;INS;1
ōrā;INS;2
ēcerant;INS;1
ātis;INS;2
ssēs;INS;1
ārem;INS;1
tāverin;INS;1
īsīverit;INS;1
āverimus;INS;1
āret;INS;1
ēmū;INS;1
ēmānābis;INS;1
ūmi;INS;1
ītō;INS;1
rānātu;INS;1
āne;INS;1
īva;INS;1
ūrāte;INS;1
ādīximus;INS;1
īgā;INS;1
mōru;INS;1
ānō;INS;1
ēlīmār;INS;1
rēnā;INS;1
ācā;INS;1
īc;INS;1
ūta;INS;1
ēta;INS;1
tēs;INS;1
rantu;INS;1
ācr;INS;1
ān;INS;1
ūdēbant;INS;1
ēt;INS;1
serātis;INS;1
ībām;INS;1
īzām;INS;1
ōnimur;INS;1
ētār;INS;1
erētur;INS;1
ābat;INS;1
uissētis;INS;1
ūrgēm;INS;1
ēnō;INS;1
ōmae;INS;1
īdō;INS;1
us;DEL;124
ygo;DEL;1
o;DEL;461
io;DEL;10
ono;DEL;5
r;DEL;1
u;DEL;66
a;DEL;97
is;DEL;8
eo;DEL;6
um;DEL;22
i;DEL;65
inus;DEL;5
s;DEL;78
eredo;DEL;1
ura;DEL;3
lo;DEL;1
ro;DEL;2
or;DEL;3
e;DEL;93
edo;DEL;2
os;DEL;4
urato;DEL;2
oco;DEL;2
ita;DEL;1
es;DEL;2
itus;DEL;4
do;DEL;3
rio;DEL;1
ativus;DEL;1
anus;DEL;4
osu;DEL;11
oro;DEL;5
udo;DEL;6
cior;DEL;1
atu;DEL;3
lis;DEL;1
iva;DEL;1
as;DEL;2
turior;DEL;1
avus;DEL;1
ivus;DEL;2
ice;DEL;1
ingo;DEL;1
erus;DEL;1
ativu;DEL;1
usu;DEL;1
uro;DEL;3
orosu;DEL;1
ocedo;DEL;1
si;DEL;7
ucosu;DEL;1
ex;DEL;2
urus;DEL;1
atus;DEL;14
ma;DEL;1
ix;DEL;1
tto;DEL;1
sanu;DEL;1
cio;DEL;3
go;DEL;7
onatus;DEL;1
igo;DEL;2
adico;DEL;2
inalis;DEL;1
ado;DEL;1
ena;DEL;1
ris;DEL;1
bo;DEL;2
epo;DEL;1
upa;DEL;1
torius;DEL;1
ati;DEL;1
inu;DEL;2
oma;DEL;1
pio;DEL;1
ido;DEL;4
ibo;DEL;1
deo;DEL;1
tus;DEL;4
co;DEL;2
setu;DEL;1
ina;DEL;1
eno;DEL;2
icu;DEL;1
iu;DEL;1
to;DEL;2
rium;DEL;1
rius;DEL;1
ucus;DEL;1
age;DEL;1
efiniti;DEL;1
uos;DEL;1
orico;DEL;2
ano;DEL;3
odo;DEL;1
undo;DEL;1
ari;DEL;1
ato;DEL;2
enu;DEL;2
ito;DEL;1
etosu;DEL;1
ino;DEL;1
jicio;DEL;1
avatu;DEL;1
igatus;DEL;1
nubo;DEL;1
on;DEL;2
alis;DEL;2
ojicio;DEL;1
imo;DEL;1
idus;DEL;1
lio;DEL;1
opino;DEL;1
iro;DEL;1
otu;DEL;1
enodo;DEL;1
oneus;DEL;1
elu;DEL;1
eli;DEL;1
tralis;DEL;1
eia;DEL;1
ola;DEL;1
aturus;DEL;1
ensi;DEL;1
mu;DEL;1
uno;DEL;1
talis;DEL;1
aliga;DEL;1
y;DEL;1
oru;DEL;1
egato;DEL;1
arius;DEL;1
ipio;DEL;1
ora;DEL;1
icio;DEL;1
emu;DEL;1
emano;DEL;1
ume;DEL;1
anis;DEL;1
uratus;DEL;1
iga;DEL;1
insa;DEL;1
li;DEL;1
no;DEL;1
aca;DEL;1
c;DEL;1
utus;DEL;1
etum;DEL;1
crum;DEL;1
nus;DEL;1
zo;DEL;1
enosu;DEL;1
omus;DEL;1
